GHG ID No. / No d'identification de GES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Location / Emplacement de l'installation,Facility City or District or Municipality / Ville ou District ou Municipalité de l'installation,Facility Province or Territory / Province ou territoire de l'installation,Facility Postal Code / Code postal de l'installation,Latitude,Longitude,Facility NPRI ID / Numéro d'identification de l'INRP,Facility NAICS Code / Code SCIAN de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,French Facility NAICS Code Description / Description du code SCIAN de l'installation en français,Reporting Company Legal Name / Dénomination sociale de la société déclarante,Reporting Company Trade Name / Nom commercial de la société déclarante,Reporting Company Business Number / Numéro d'entreprise de la société déclarante,DUNS Number / Numéro DUNS,Public Contact Name / Nom du responsable des renseignements au public,Public Contact Position / Poste ou Titre du responsable des renseignements au public,Public Contact Telephone / Numéro de téléphone du responsable des renseignements au public,Public Contact Extension / Poste téléphonique du responsable des renseignements au public,Public Contact Email / Adresse électronique du responsable des renseignements au public,Public Contact Mailing Address / Adresse postale du responsable des renseignements au public,Public Contact City or District or Municipality / Ville ou District ou Municipalité du responsable des renseignements au public,Public Contact Province or Territory / Province ou Territoire du responsable des renseignements au public,Public Contact Postal Code / Code postal du responsable des renseignement au public,CO2 (tonnes),CO2 (tonnes CO2e / tonnes éq. CO2),CH4 (tonnes),CH4 (tonnes CO2e / tonnes éq. CO2),N2O (tonnes),N2O (tonnes CO2e / tonnes éq. CO2),HFC-23 (tonnes), HFC-23 (tonnes CO2e / tonnes éq. CO2),HFC-32 (tonnes),HFC-32 (tonnes CO2e / tonnes éq. CO2),HFC-125 (tonnes),HFC-125 (tonnes CO2e / tonnes éq. CO2),HFC-134a (tonnes),HFC-134a (tonnes CO2e / tonnes éq. CO2),HFC-143a (tonnes),HFC-143a (tonnes CO2e / tonnes éq. CO2),HFC-152a (tonnes),HFC-152a (tonnes CO2e / tonnes éq. CO2),HFC-41 (tonnes),HFC-41 (tonnes CO2e / tonnes éq. CO2),HFC-43-10mee (tonnes),HFC-43-10mee (tonnes CO2e / tonnes éq. CO2),HFC-134 (tonnes),HFC-134 (tonnes CO2e / tonnes éq. CO2),HFC-143 (tonnes),HFC-143 (tonnes CO2e / tonnes éq. CO2),HFC-227ea (tonnes),HFC-227ea (tonnes CO2e / tonnes éq. CO2),HFC-236fa (tonnes),HFC-236fa (tonnes CO2e / tonnes éq. CO2),HFC-245ca (tonnes),HFC-245ca (tonnes CO2e / tonnes éq. CO2),HFC Total (tonnes CO2e / tonnes éq. CO2),CF4 (tonnes),CF4 (tonnes CO2e / tonnes éq. CO2),C2F6 (tonnes),C2F6 (tonnes CO2e / tonnes éq. CO2),C3F8 (tonnes),C3F8 (tonnes CO2e / tonnes éq. CO2),C4F10 (tonnes),C4F10 (tonnes CO2e / tonnes éq. CO2),C4F8 (tonnes),C4F8 (tonnes CO2e / tonnes éq. CO2),C5F12 (tonnes),C5F12 (tonnes CO2e / tonnes éq. CO2),C6F14 (tonnes),C6F14 (tonnes CO2e / tonnes éq. CO2),PFC Total (tonnes CO2e / tonnes éq. CO2),SF6 (tonnes),SF6 (tonnes CO2e / tonnes éq. CO2),Total Emissions (tonnes CO2e) / Émissions totales (tonnes éq. CO2),Monitoring or Direct Measurement / Surveillance ou mesure directe,Mass Balance / Bilan massique,Emission Factors / Facteurs d'émission,Engineering Estimates / Calculs techniques
G10016,2017,Atikokan Generating Station, 15202  622 Highway ,Atikokan,Ontario,P0T1C0,48.83610,-91.56560,3238,221119,Other Electric Power Generation,Autres activités de production d'électricité,Ontario Power Generation Inc.,OPG,878664226,255289241,,,,,,    ,,,,14594,14594,55.278,1381.95,7.255,2161.99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,18137.94,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Applicable
G10018,2017,Battle River Generating Station, 498 Box   ,Forestburg,Alberta,T0B1N0,52.56470,-112.14140,1033,221112,Fossil-Fuel Electric Power Generation,Product. d'électr. à partir de combust. fossile,ATCO Power,ATCO Power,865890198,,Jim Hackett,Director Environment,4038027513,,jim.hackett@atco.com, 5302 Forand Street ,Calgary,Alberta,T3E 8B4,2044043.495,2044043.495,22.2382,555.955,29.8833,8905.2234,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,2053504.673,Not Applicable / Sans objet,Applicable,Applicable,Applicable
G10020,2017,Bayside Power,0 509 Bayside Drive ,Saint John,New Brunswick,E2J1B4,45.27530,-66.02690,5084,221112,Fossil-Fuel Electric Power Generation,Product. d'électr. à partir de combust. fossile,Bayside Power L.P.,Bayside Power L.P.,869221338,243592032,Aaron MacIntyre,"Director, Safety & Environment",9024742154,,aaron.macintyre@emeraenergy.com,    ,Halifax,Nova Scotia,B3J 2W5,239068,239068,4.78,119.5,14.34,4273.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,243460.82,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G10021,2017,Usine de Bedford, 1015 de la Carriere Road ,Bedford,Quebec,J0J1A0,45.11230,-73.01290,5591,327410,Lime Mfg.,Fabrication de chaux,Graymont (QC) Inc.,Graymont (QC) Inc.,131342008,,Rob Beleutz,Environmental Manager,6042491911,,rbeleutz@graymont.com,200 10991 Shellbridge Way ,Richmond,British Columbia,V6X3C6,469554.914,469554.914,2.455,61.375,1.34,399.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,470015.609,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G10022,2017,Belledune Generating Station, 1558 Main Street ,Belledune,New Brunswick,E8G2M3,47.90580,-65.86700,1698,221112,Fossil-Fuel Electric Power Generation,Product. d'électr. à partir de combust. fossile,New Brunswick Power Corporation,NB Power,119246921,,Jim Samms,Environment and Emergency Planning,5064583756,,jsamms@nbpower.com, 515 King Street ,Fredericton,New Brunswick,E3B 4X1,2425183.6,2425183.6,20.86,521.5,31.29,9324.42,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,2435029.52,Not Applicable / Sans objet,Applicable,Applicable,Not Applicable / Sans objet
G10024,2017,Boundary Dam Power Station,    ,Estevan,Saskatchewan,S4A2A6,49.09606,-103.03050,2081,221112,Fossil-Fuel Electric Power Generation,Product. d'électr. à partir de combust. fossile,Saskatchewan Power Corporation,SaskPower,119429678,200682151,Darryl Kuntz,"Manager, Performance & Reporting, Environment",3065663994,,dskuntz@saskpower.com, 2025 Victoria Avenue ,Regina,Saskatchewan,S4P 0S1,5464491.7,5464491.7,83.1,2077.5,116.88,34830.24,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,5501399.44,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Applicable
G10025,2017,Resolute Forest Products - Thunder Bay Operations, 2001 Neebing  Avenue ,Thunder Bay,Ontario,P7E6S3,48.34860,-89.30670,930,322112,Chemical Pulp Mills,Usines de pâte chimique,Produits forestiers Résolu,Resolute FP Canada Inc.,144272010,249888900,Ashleigh Marchl,Environmental Superintendent,8074752131,,ashleigh.marchl@resolutefp.com, 2001 Neebing Avenue ,Thunder Bay,Ontario,P7E6S3,180639,180639,607.0504,15176.26,63.0119,18777.5462,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,214592.8062,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G10026,2017,Brady Road Resource Management Facility, 1901 Brady Road ,Winnipeg,Manitoba,R3Y1T1,49.75830,-97.20040,6896,562210,Waste Treatment & Disposal,Traitement & élimination des déchets,"City of Winnipeg, Water & Waste Department",Water & Waste Department,121682967,,,,,,,    ,,,,,,15663.48,391587,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,391587,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Applicable
G10027,2017,Brampton Assembly Plant, 2000 Williams Parkway East,Brampton,Ontario,L6S6B3,43.75120,-79.71680,4173,336110,Automobile & Light-Duty Motor Vehicle Mfg.,Fab. de voitures & véhicules automobiles légers,FCA Canada Inc.,FCA,100963941,201848868,Josh Orentlicher,"EHS Lead, Canada Compliance",4168058227,,josh.orentlicher@fcagroup.com, 6500 Mississauga Road North,Mississauga,Ontario,L5N1A8,74692.64,74692.64,1.49,37.25,1.32,393.36,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,75123.25,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G10028,2017,Brandon Generating Station, 3305 Victoria Avenue East,Brandon,Manitoba,R7A7J8,49.84490,-99.88960,821,221112,Fossil-Fuel Electric Power Generation,Product. d'électr. à partir de combust. fossile,Manitoba Hydro,Manitoba Hydro,122063779,,,,,,,    ,,,,39330.693,39330.693,0.7541,18.8525,0.5658,168.6084,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,0.00218,49.704,39567.8579,Applicable,Applicable,Applicable,Not Applicable / Sans objet
G10029,2017,Brazeau Gas Plant,    ,Drayton Valley,Alberta,,53.18120,-115.76250,3749,211110,Oil and Gas Extraction (except oil sands), Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Tidewater Midstream and Infrastructure Ltd.,,810977587,,Scott  McLean,Manager HSE,5873938213,,Smclean@tidewatermidstream.com,1500 250 2 Street Southwest,Calgary,Alberta,T2P0C1,72269.72605,72269.72605,2947.89907,73697.47675,6.412851,1911.029598,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,147878.2324,Applicable,Applicable,Applicable,Not Applicable / Sans objet
G10030,2017,Brazeau River Gas Plant,    ,Drayton Valley,Alberta,T7A1S5,52.94707,-115.90260,001362,211110,Oil and Gas Extraction (except oil sands), Extraction de pétrole et de gaz (à l'exception des sables bitumineux),Keyera Corp,Keyera Corp,878885227,,,,,,,    ,,,,67288.428,67288.428,143.903,3597.575,5.013,1493.874,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,72379.877,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Applicable
G10031,2017,Brighton Beach Power, 100 Chappus Street ,Windsor,Ontario,N9C4J3,42.27980,-83.09460,11009,221112,Fossil-Fuel Electric Power Generation,Product. d'électr. à partir de combust. fossile,Brighton Beach Power L.P.,Brighton Beach Power L.P.,111116380,,,,,,,    ,,,,50889.83265,50889.83265,14.46716,361.679,1.31,390.38,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,51641.89165,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Applicable
G10032,2017,Brock West Landfill, 1390 3rd Concession ,Pickering,Ontario,L1X2R4,43.86850,-79.10054,,562210,Waste Treatment & Disposal,Traitement & élimination des déchets,City of Toronto,City of Toronto,867402299,, Lynda Mulcahy,"Manager, Closed Landfill Operations",9053034017,,Lynda.Mulcahy@toronto.ca,Office 7 Eagel Court ,VAUGHAN,Ontario,L6A 4E2,,,913.344,22833.6,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,22833.6,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G10033,2017,Brookfield Cement Plant, 87  Cement Plant Road ,Brookfield,Nova Scotia,B0N1C0,45.23930,-63.33470,4317,327310,Cement Mfg.,Fabrication de ciment,Lafarge Canada Inc.,Lafarge Canada,102930856,243222671,,,,,,    ,,,,172929.491,172929.491,1.262,31.55,0.104,30.992,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,172992.033,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable,Not Applicable / Sans objet
G10035,2017,Brunswick Smelter, 692 Main Street ,Belledune,New Brunswick,E8G 2M1,47.89920,-65.83390,4024,331410,Non-Ferrous (except Al) Smelting & Refining,Fonte & affinage métaux non ferreux (sauf Al),Glencore Canada Corporation,Glencore,897767646,201718269,Robert Butler,Environmental Superintendent,5065227005,,bob.butler@glencore-ca.com, 692 Main Street  ,Belledune,New Brunswick,E8G 2M1,223623.83,223623.83,7.63,190.75,5.54,1650.92,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,225465.5,Not Applicable / Sans objet,Not Applicable / Sans objet,Not Applicable / Sans objet,Applicable
G10036,2017,Burnaby Refinery, 355 Willingdon Avenue North,Burnaby,British Columbia,V5C1X4,49.29444,-122.98888,2776,324110,Petroleum Refineries,Raffineries de pétrole,Parkland Refining (B.C.) Ltd.,,743318321,,Dave Schick,"Policy, Government and Public Affairs Manager",6042574003,,David.Schick@parkland.ca, 310 Willingdon Avenue North,Burnaby,British Columbia,V5C 1X4,532910,532910,215.3425,5383.5625,4.9552,1476.6496,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,539770.2121,Applicable,Not Applicable / Sans objet,Applicable,Applicable
G10037,2017,Burrard Generating Station, 1 Thermal Plant Road ,Port Moody,British Columbia,V3H 3C8,49.29879,-122.89059,3240,221112,Fossil-Fuel Electric Power Generation,Product. d'électr. à partir de combust. fossile,British Columbia Hydro and Power Authority,BC Hydro,121454151,253730519,Gary Birch,Sustainability Specialist,6045281519,,gary.birch@bchydro.com, 6911 Southpoint Drive ,Burnaby,British Columbia,V3N 4X8,145.1105,145.1105,0.0357,0.8925,0.004,1.192,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0,0,,0,147.195,Not Applicable / Sans objet,Applicable,Applicable,Not Applicable / Sans objet
