user_id,retained_d7,retained_d30,total_revenue_30d,churn_risk
U00080,1,1,18.52,low
U00081,1,1,0.0,low
U00082,1,0,0.0,low
U00083,0,0,9.56,medium
U00084,1,1,10.41,low
U00085,1,1,21.22,medium
U00086,0,0,0.0,medium
U00087,1,1,6.78,low
U00088,1,1,19.31,low
U00089,1,1,0.0,low
U00090,1,1,0.0,medium
U00091,1,1,0.0,low
U00092,0,0,0.0,high
U00093,1,1,0.0,low
U00094,1,1,21.48,medium
U00095,1,1,0.0,low
U00096,1,1,0.0,low
U00097,0,0,0.0,medium
U00098,1,1,87.01,low
U00099,1,1,0.0,low
U00100,1,1,7.96,low
U00101,1,1,0.0,low
U00102,1,1,61.27,low
U00103,1,1,0.0,low
U00104,1,1,0.0,medium
U00105,0,1,0.0,low
U00106,1,1,8.37,low
U00107,0,1,0.0,low
U00108,1,0,64.55,low
U00109,1,1,0.0,low
U00110,1,0,9.44,medium
U00111,1,1,15.45,low
U00112,1,0,18.85,low
U00113,1,1,0.0,medium
U00114,1,1,0.0,low
U00115,1,0,0.0,low
U00116,1,1,78.51,low
U00117,1,1,20.47,low
U00118,0,1,0.0,low
U00119,1,1,28.98,low
U00120,0,0,0.0,low
U00121,1,1,20.45,low
U00122,0,0,0.0,low
U00123,1,1,12.21,medium
U00124,1,1,0.0,low
U00125,0,1,10.49,medium
U00126,1,1,17.95,low
U00127,1,1,0.0,low
U00128,1,1,58.1,low
U00129,1,1,5.4,low
U00130,1,1,11.14,low
U00131,0,1,2.82,low
U00132,0,0,0.0,medium
U00133,0,0,0.0,medium
U00134,1,0,0.0,low
U00135,1,1,10.73,low
U00136,0,1,0.0,low
U00137,0,0,0.0,low
U00138,0,0,32.23,medium
U00139,0,1,0.0,medium
U00140,1,0,0.0,low
U00141,1,0,0.0,low
U00142,0,0,0.0,high
U00143,0,0,0.0,medium
U00144,1,0,42.09,low
U00145,0,0,0.0,high
U00146,0,0,0.0,medium
U00147,1,1,21.04,low
U00148,0,0,0.0,high
U00149,1,1,19.63,low
U00150,1,1,6.64,medium
U00151,1,1,20.03,low
U00152,0,0,0.0,high
U00153,1,1,4.88,low
U00154,1,1,28.03,low
U00155,1,0,0.0,low
U00156,1,1,28.32,medium
U00157,0,0,10.92,medium
U00158,1,1,0.0,low
U00159,0,0,0.0,low
U00160,1,0,0.0,medium
U00161,1,1,0.0,low
U00162,0,1,40.81,low
U00163,1,1,7.65,low
U00164,1,0,0.0,medium
U00165,1,1,23.95,low
U00166,1,1,18.74,low
U00167,0,0,68.21,low
U00168,0,1,0.0,low
U00169,0,0,0.0,low
U00170,1,1,0.0,low
U00171,1,1,73.77,low
U00172,0,0,0.0,low
U00173,1,0,0.0,low
U00174,0,0,0.0,medium
U00175,1,0,9.65,medium
U00176,1,1,70.22,low
U00177,1,0,23.41,low
U00178,0,1,10.16,low
U00179,0,0,43.4,low
U00180,0,0,0.0,low
U00181,1,1,34.02,low
U00182,1,0,9.77,low
U00183,1,1,19.22,low
U00184,1,0,0.0,low
U00185,1,0,0.0,low
U00186,1,0,0.0,medium
U00187,0,0,0.0,low
U00188,1,0,16.29,low
U00189,1,1,0.0,low
U00190,1,0,0.0,low
U00191,1,1,0.0,low
U00192,0,0,0.0,high
U00193,1,0,27.35,high
U00194,1,1,70.55,low
U00195,0,0,0.0,low
U00196,1,1,63.88,low
U00197,1,1,0.0,low
U00198,1,1,25.51,low
U00199,1,1,0.0,medium
U00200,0,0,0.0,medium
U00201,0,0,33.3,medium
U00202,1,1,43.14,low
U00203,0,0,30.25,medium
U00204,1,1,0.0,low
U00205,1,0,38.46,medium
U00206,1,1,71.15,low
U00207,1,1,0.0,low
U00208,1,1,0.0,medium
U00209,1,1,0.0,low
U00210,1,1,0.0,low
U00211,1,1,32.04,low
U00212,1,1,40.48,low
U00213,0,0,15.34,low
U00214,0,1,0.0,medium
U00215,1,1,0.0,low
U00216,1,1,31.99,low
U00217,0,1,0.0,low
U00218,1,1,0.0,low
U00219,0,0,0.0,medium
U00220,0,1,89.89,low
U00221,1,1,37.37,medium
U00222,1,1,0.0,low
U00223,1,0,0.0,low
U00224,0,0,5.28,high
U00225,1,0,12.49,low
U00226,1,0,21.93,low
U00227,1,1,11.15,low
U00228,0,0,0.0,medium
U00229,1,1,32.84,low
U00230,1,1,0.0,low
U00231,1,1,21.93,low
U00232,1,1,44.81,low
U00233,1,0,0.0,low
U00234,0,0,0.0,medium
U00235,1,1,9.21,low
U00236,1,1,30.93,low
U00237,1,1,46.47,low
U00238,1,1,0.0,low
U00239,1,1,0.0,low
U00240,1,1,0.0,medium
U00241,0,0,0.0,high
U00242,1,1,39.59,medium
U00243,0,1,22.66,low
U00244,0,0,0.0,medium
U00245,0,1,16.53,medium
U00246,0,0,0.0,medium
U00247,0,1,18.47,medium
U00248,0,1,5.32,low
U00249,1,0,0.0,low
U00250,1,0,0.0,medium
U00251,1,0,49.65,low
U00252,1,1,43.38,low
U00253,1,0,6.24,high
U00254,1,1,0.0,low
U00255,0,1,0.0,low
U00256,1,0,0.0,high
U00257,1,1,59.79,low
U00258,1,1,50.79,low
U00259,1,1,0.0,medium
U00260,0,1,0.0,medium
U00261,1,0,12.19,low
U00262,1,1,45.03,low
U00263,0,0,0.0,low
U00264,1,0,0.0,low
U00265,0,0,0.0,high
U00266,1,1,0.0,low
U00267,1,1,29.1,low
U00268,1,1,0.0,low
U00269,1,1,60.45,low
U00270,1,1,44.36,medium
U00271,1,0,47.6,low
U00272,1,0,0.0,low
U00273,1,1,24.02,low
U00274,1,1,0.0,low
U00275,1,1,0.0,low
U00276,0,0,0.0,high
U00277,1,0,10.05,medium
U00278,1,1,4.3,low
U00279,1,1,0.0,medium
U00280,0,1,84.84,medium
U00281,1,0,7.8,low
U00282,1,0,0.0,medium
U00283,0,1,0.0,low
U00284,1,0,0.0,medium
U00285,0,0,0.0,low
U00286,1,1,14.58,low
U00287,1,1,0.0,low
U00288,1,1,0.0,low
U00289,0,1,0.0,medium
U00290,1,1,0.0,low
U00291,1,1,0.0,low
U00292,1,1,34.32,low
U00293,0,0,0.0,medium
U00294,1,0,0.0,low
U00295,1,1,10.71,medium
U00296,0,1,0.0,low
U00297,0,0,58.57,medium
U00298,1,1,53.51,low
U00299,1,1,32.16,low
U00300,0,1,0.0,medium
U00301,1,1,34.59,low
U00302,1,1,0.0,low
U00303,1,1,0.0,low
U00304,1,1,21.04,low
U00305,0,1,12.51,medium
U00306,0,1,0.0,low
U00307,0,1,23.98,low
U00308,0,0,0.0,medium
U00309,0,0,18.62,low
U00310,0,1,0.0,low
U00311,1,1,30.33,low
U00312,1,1,9.14,low
U00313,1,1,31.25,low
U00314,1,0,0.0,low
U00315,1,1,30.96,low
U00316,0,0,3.09,medium
U00317,0,0,0.0,high
U00318,0,0,0.0,high
U00319,1,1,37.97,low
U00320,0,0,8.61,medium
U00321,1,1,0.0,low
U00322,1,1,8.03,medium
U00323,1,0,0.0,low
U00324,0,0,0.0,low
U00325,0,0,3.76,medium
U00326,1,0,0.0,low
U00327,1,1,4.91,low
U00328,1,1,0.0,low
U00329,1,1,33.77,low
U00330,0,0,0.0,medium
U00331,0,0,4.18,low
U00332,1,1,11.84,low
U00333,0,0,20.5,medium
U00334,1,0,0.0,low
U00335,1,1,47.17,low
U00336,0,1,12.79,low
U00337,1,0,25.07,low
U00338,1,0,34.73,low
U00339,1,1,0.0,low
U00340,0,0,0.0,high
U00341,1,1,0.0,low
U00342,1,1,5.41,low
U00343,0,0,30.38,high
U00344,0,0,0.0,high
U00345,0,1,56.46,low
U00346,1,1,0.0,low
U00347,1,0,0.0,medium
U00348,1,1,0.0,low
U00349,1,0,66.85,low
U00350,1,0,28.74,medium
U00351,1,1,0.0,low
U00352,1,1,0.0,low
U00353,1,1,0.0,low
U00354,1,1,0.0,low
U00355,1,1,65.81,low
U00356,1,1,0.0,low
U00357,1,1,39.89,low
U00358,1,1,15.23,low
U00359,0,1,9.73,low
U00360,0,0,0.0,high
U00361,1,1,31.72,low
U00362,1,1,8.11,low
U00363,1,0,32.0,medium
U00364,1,1,0.0,low
U00365,0,1,0.0,low
U00366,0,0,0.0,medium
U00367,1,0,0.0,low
U00368,1,1,0.0,low
U00369,1,1,32.25,low
U00370,0,0,0.0,low
U00371,1,1,34.9,low
U00372,1,1,0.0,medium
U00373,1,0,18.13,low
U00374,1,1,0.0,low
U00375,0,0,0.0,medium
U00376,1,1,25.05,low
U00377,1,1,0.0,low
U00378,0,0,16.71,medium
U00379,1,1,76.84,low
U00380,1,0,0.0,low
U00381,1,1,17.45,low
U00382,1,1,18.24,low
U00383,1,0,0.0,low
U00384,1,0,30.34,medium
U00385,1,0,0.0,low
U00386,1,1,0.0,low
U00387,0,1,0.0,low
U00388,0,0,0.0,medium
U00389,1,0,27.26,low
U00390,1,1,17.94,low
U00391,0,1,0.0,low
U00392,0,0,62.88,low
U00393,1,1,0.0,low
U00394,1,1,54.23,low
U00395,1,0,0.0,medium
U00396,0,1,0.0,low
U00397,1,1,56.4,low
U00398,1,0,0.0,medium
U00399,0,0,0.0,medium
U00400,1,0,0.0,low
U00401,0,1,30.79,medium
U00402,1,1,49.21,low
U00403,0,0,0.0,medium
U00404,1,1,42.85,medium
U00405,1,0,0.0,medium
U00406,0,0,0.0,medium
U00407,0,0,4.75,medium
U00408,1,1,0.0,low
U00409,0,0,5.22,high
U00410,1,1,0.0,low
U00411,0,0,0.0,low
U00412,1,1,65.0,low
U00413,0,0,0.0,medium
U00414,0,1,6.26,low
U00415,1,1,0.0,low
U00416,0,0,38.49,medium
U00417,0,0,9.75,medium
U00418,1,1,36.95,low
U00419,1,1,0.0,low
U00420,0,0,0.0,medium
U00421,0,0,41.48,low
U00422,1,1,0.0,low
U00423,0,0,49.45,low
U00424,1,0,34.87,low
U00425,0,0,7.98,low
U00426,1,1,0.0,low
U00427,1,1,0.0,medium
U00428,1,0,0.0,low
U00429,1,1,0.0,low
U00430,1,1,28.95,low
U00431,1,1,47.83,low
U00432,1,1,0.0,low
U00433,1,1,10.92,low
U00434,0,1,0.0,low
U00435,0,0,0.0,medium
U00436,0,0,0.0,medium
U00437,0,0,0.0,medium
U00438,1,0,0.0,low
U00439,1,1,34.61,low
U00440,1,1,0.0,low
U00441,1,1,0.0,low
U00442,1,1,0.0,low
U00443,0,0,0.0,low
U00444,1,1,19.55,low
U00445,0,0,0.0,low
U00446,0,1,0.0,low
U00447,1,1,49.65,high
U00448,0,0,0.0,high
U00449,1,0,0.0,low
U00450,1,1,0.0,low
U00451,1,0,0.0,medium
U00452,1,1,0.0,low
U00453,0,0,0.0,medium
U00454,0,0,32.96,high
U00455,0,0,39.22,medium
U00456,1,1,65.5,low
U00457,1,1,10.04,low
U00458,1,1,0.0,low
U00459,0,0,10.6,medium
U00460,1,1,55.39,low
U00461,1,1,0.0,low
U00462,1,0,0.0,low
U00463,0,0,0.0,medium
U00464,1,1,66.05,low
U00465,0,0,0.0,low
U00466,1,0,0.0,medium
U00467,1,1,0.0,medium
U00468,1,1,84.01,low
U00469,0,0,21.15,low
U00470,1,1,0.0,low
U00471,0,1,0.0,medium
U00472,0,0,0.0,medium
U00473,1,1,0.0,low
U00474,1,0,0.0,medium
U00475,0,0,22.09,low
U00476,0,1,66.71,low
U00477,1,1,8.69,low
U00478,0,0,21.24,low
U00479,1,1,23.03,low
U00480,0,0,0.0,low
U00481,1,0,39.75,low
U00482,1,0,0.0,low
U00483,1,1,36.18,low
U00484,0,0,0.0,low
U00485,1,1,4.52,low
U00486,1,0,24.18,low
U00487,1,0,0.0,low
U00488,1,1,14.61,low
U00489,0,0,0.0,low
U00490,1,1,6.96,low
U00491,1,0,22.86,medium
U00492,1,1,0.0,low
U00493,1,1,0.0,low
U00494,1,1,22.48,low
U00495,1,1,27.03,low
U00496,0,1,0.0,medium
U00497,1,1,24.25,medium
U00498,1,1,0.0,low
U00499,1,0,33.47,medium
U00500,0,1,12.68,low
U00501,1,0,21.82,low
U00502,1,1,41.75,low
U00503,0,0,129.5,low
U00504,0,1,0.0,low
U00505,1,0,0.0,low
U00506,1,1,43.67,medium
U00507,0,0,0.0,medium
U00508,0,1,0.0,medium
U00509,1,1,0.0,low
U00510,1,0,6.41,medium
U00511,0,0,0.0,medium
U00512,0,0,0.0,low
U00513,1,1,0.0,medium
U00514,1,1,0.0,low
U00515,1,1,24.11,low
U00516,1,1,24.53,low
U00517,1,0,0.0,low
U00518,1,0,11.59,low
U00519,1,0,0.0,low
U00520,1,0,0.0,low
U00521,0,0,2.56,low
U00522,0,1,0.0,high
U00523,1,1,16.52,low
U00524,0,1,17.61,low
U00525,0,0,0.0,medium
U00526,1,1,0.0,low
U00527,0,0,14.37,medium
U00528,1,1,56.91,low
U00529,1,1,0.0,low
U00530,1,1,32.24,medium
U00531,1,1,15.39,low
U00532,1,1,0.0,low
U00533,1,1,24.59,low
U00534,1,1,0.0,low
U00535,1,1,0.0,low
U00536,1,1,49.89,low
U00537,1,1,19.45,medium
U00538,1,1,43.1,low
U00539,1,1,0.0,low
U00540,1,1,0.0,medium
U00541,1,1,0.0,low
U00542,0,1,0.0,low
U00543,1,1,0.0,low
U00544,0,0,0.0,high
U00545,1,1,0.0,medium
U00546,1,1,61.14,low
U00547,1,0,0.0,low
U00548,0,1,0.0,medium
U00549,1,1,56.72,low
U00550,1,1,48.53,low
U00551,1,1,0.0,low
U00552,1,1,15.55,low
U00553,1,1,14.4,low
U00554,0,0,0.0,high
U00555,0,1,49.01,medium
U00556,1,1,23.62,low
U00557,0,1,37.96,low
U00558,0,0,28.69,high
U00559,0,0,0.0,medium
U00560,0,0,0.0,high
U00561,0,0,0.0,high
U00562,0,0,0.0,low
U00563,0,0,0.0,low
U00564,1,1,15.25,low
U00565,1,0,0.0,high
U00566,1,1,56.26,low
U00567,1,0,0.0,low
U00568,0,0,0.0,high
U00569,1,0,9.22,low
U00570,1,1,0.0,low
U00571,1,1,0.0,medium
U00572,0,1,14.12,low
U00573,1,1,0.0,low
U00574,1,1,0.0,low
U00575,0,1,0.0,low
U00576,1,1,8.72,low
U00577,0,0,0.0,high
U00578,1,0,44.87,low
U00579,1,0,14.18,medium
U00580,0,1,44.75,medium
U00581,0,0,0.0,medium
U00582,1,1,0.0,low
U00583,1,1,0.0,medium
U00584,0,0,0.0,medium
U00585,1,0,29.61,medium
U00586,1,1,0.0,low
U00587,0,0,23.42,low
U00588,0,1,36.82,low
U00589,1,1,34.25,low
U00590,1,0,0.0,medium
U00591,1,0,0.0,low
U00592,1,0,0.0,low
U00593,1,0,0.0,medium
U00594,1,1,44.03,low
U00595,1,1,0.0,medium
U00596,1,1,5.41,low
U00597,1,0,28.74,low
U00598,1,1,0.0,low
U00599,1,1,0.0,low
U00600,1,1,0.0,low
U00601,1,0,0.0,medium
U00602,1,1,16.1,low
U00603,0,1,0.0,low
U00604,1,1,0.0,low
U00605,1,0,0.0,medium
U00606,1,1,0.0,low
U00607,1,0,0.0,low
U00608,1,1,17.83,low
U00609,0,1,0.0,medium
U00610,1,1,24.24,low
U00611,0,1,35.02,medium
U00612,1,1,59.19,low
U00613,1,1,42.52,low
U00614,1,1,41.94,low
U00615,0,0,0.0,low
U00616,1,0,0.0,low
U00617,1,1,0.0,low
U00618,1,1,0.0,low
U00619,1,1,0.0,low
U00620,0,0,0.0,low
U00621,1,1,60.37,low
U00622,1,0,0.0,low
U00623,1,0,0.0,low
U00624,0,0,49.23,medium
U00625,1,1,35.09,low
U00626,1,1,0.0,medium
U00627,1,1,0.0,low
U00628,0,0,5.18,medium
U00629,0,1,0.0,low
U00630,1,1,0.0,low
U00631,1,1,29.94,low
U00632,1,1,4.51,low
U00633,1,1,0.0,low
U00634,0,0,11.38,medium
U00635,1,1,14.24,low
U00636,0,1,35.84,low
U00637,1,1,23.76,low
U00638,0,0,9.23,medium
U00639,0,0,91.59,medium
U00640,1,0,31.41,medium
U00641,1,1,19.68,low
U00642,1,1,0.0,low
U00643,0,0,0.0,medium
U00644,1,1,0.0,low
U00645,0,0,0.0,medium
U00646,0,0,0.0,low
U00647,0,0,0.0,high
U00648,1,1,0.0,low
U00649,0,0,0.0,low
U00650,1,1,0.0,low
U00651,1,0,0.0,medium
U00652,1,1,14.6,low
U00653,0,0,0.0,high
U00654,1,1,75.15,low
U00655,1,1,64.89,low
U00656,0,0,0.0,medium
U00657,0,1,0.0,high
U00658,1,1,14.19,low
U00659,0,0,0.0,low
U00660,0,0,0.0,low
U00661,1,1,0.0,low
U00662,1,0,0.0,medium
U00663,1,0,0.0,medium
U00664,0,1,29.89,low
U00665,0,1,16.23,low
U00666,0,0,0.0,high
U00667,1,1,0.0,low
U00668,1,0,18.82,low
U00669,0,1,0.0,high
U00670,1,1,0.0,medium
U00671,0,0,0.0,low
U00672,1,1,26.8,low
U00673,0,1,49.18,low
U00674,0,1,0.0,low
U00675,1,0,0.0,low
U00676,1,0,10.56,low
U00677,1,0,0.0,low
U00678,0,0,0.0,high
U00679,1,1,24.72,low
U00680,1,1,0.0,low
U00681,1,0,35.71,low
U00682,0,1,9.03,low
U00683,1,1,0.0,low
U00684,1,1,31.9,low
U00685,0,1,0.0,high
U00686,1,1,0.0,medium
U00687,1,1,39.55,low
U00688,1,1,49.68,low
U00689,0,1,0.0,low
U00690,0,1,6.27,low
U00691,1,1,0.0,medium
U00692,0,0,0.0,low
U00693,1,1,0.0,low
U00694,0,1,46.09,low
U00695,1,0,9.32,low
U00696,0,0,8.22,medium
U00697,1,1,0.0,low
U00698,1,0,0.0,medium
U00699,1,1,85.6,low
U00700,0,0,0.0,high
U00701,1,0,0.0,low
U00702,1,1,0.0,low
U00703,1,1,5.0,low
U00704,0,0,24.42,low
U00705,1,0,0.0,low
U00706,1,1,18.49,low
U00707,0,0,42.63,high
U00708,0,1,17.04,low
U00709,0,0,53.31,low
U00710,0,0,0.0,high
U00711,0,0,0.0,low
U00712,0,0,0.0,medium
U00713,0,0,14.95,medium
U00714,0,1,0.0,medium
U00715,1,1,0.0,low
U00716,1,1,0.0,medium
U00717,0,1,36.61,medium
U00718,0,0,95.0,low
U00719,0,0,21.28,low
U00720,1,0,0.0,low
U00721,1,0,0.0,medium
U00722,1,1,22.78,low
U00723,1,0,0.0,low
U00724,1,1,8.71,low
U00725,0,1,0.0,low
U00726,0,0,15.19,medium
U00727,0,0,0.0,medium
U00728,0,1,0.0,medium
U00729,0,1,24.95,low
U00730,1,1,0.0,low
U00731,0,0,0.0,high
U00732,0,0,40.83,medium
U00733,1,1,35.93,low
U00734,0,1,0.0,low
U00735,1,1,0.0,low
U00736,1,1,0.0,low
U00737,1,1,9.87,low
U00738,1,1,0.0,low
U00739,1,0,40.44,high
U00740,1,0,0.0,low
U00741,1,1,0.0,low
U00742,1,0,0.0,low
U00743,0,0,27.4,medium
U00744,0,0,46.89,medium
U00745,1,1,0.0,low
U00746,1,1,35.52,low
U00747,1,1,0.0,low
U00748,1,1,26.16,low
U00749,1,0,0.0,low
U00750,1,1,4.3,low
U00751,1,0,0.0,medium
U00752,0,1,9.43,low
U00753,0,0,0.0,medium
U00754,1,1,0.0,low
U00755,0,1,0.0,low
U00756,1,1,0.0,low
U00757,1,0,0.0,medium
U00758,0,0,25.82,low
U00759,1,1,35.52,low
U00760,1,1,0.0,low
U00761,0,0,0.0,medium
U00762,1,1,36.4,low
U00763,0,0,0.0,medium
U00764,1,1,0.0,low
U00765,1,0,19.21,low
U00766,1,0,0.0,low
U00767,1,1,0.0,low
U00768,0,1,0.0,high
U00769,0,0,0.0,high
U00770,1,1,0.0,low
U00771,1,0,0.0,low
U00772,1,1,34.34,low
U00773,1,0,37.17,low
U00774,1,1,0.0,low
U00775,0,1,0.0,low
U00776,0,0,0.0,medium
U00777,1,1,50.94,low
U00778,1,0,15.54,medium
U00779,1,1,25.42,low
U00780,1,0,0.0,low
U00781,1,0,21.83,medium
U00782,1,0,0.0,low
U00783,1,0,37.56,low
U00784,1,1,28.8,low
U00785,0,0,0.0,medium
U00786,1,0,0.0,medium
U00787,0,0,14.76,high
U00788,1,1,0.0,low
U00789,1,0,0.0,medium
U00790,0,1,0.0,medium
U00791,0,1,0.0,low
U00792,1,1,21.84,medium
U00793,1,1,29.05,low
U00794,1,1,0.0,low
U00795,1,1,17.81,low
U00796,1,1,24.61,low
U00797,1,1,0.0,low
U00798,1,1,0.0,low
U00799,0,0,0.0,high
U00800,1,1,35.01,medium
U00801,1,1,0.0,low
U00802,0,0,13.42,low
U00803,1,1,0.0,low
U00804,0,0,0.0,low
U00805,1,1,0.0,medium
U00806,1,1,20.29,low
U00807,1,0,22.66,low
U00808,0,0,24.46,medium
U00809,1,1,0.0,low
U00810,0,1,0.0,low
U00811,0,0,0.0,medium
U00812,1,1,46.45,low
U00813,1,1,97.03,low
U00814,0,0,0.0,high
U00815,1,1,52.32,medium
U00816,1,1,4.27,low
U00817,1,0,0.0,low
U00818,1,0,12.48,low
U00819,0,0,13.43,low
U00820,0,0,0.0,low
U00821,1,1,0.0,medium
U00822,1,1,0.0,low
U00823,1,1,10.01,low
U00824,1,0,3.37,medium
U00825,1,1,33.63,low
U00826,0,0,0.0,medium
U00827,0,0,36.93,medium
U00828,0,1,0.0,low
U00829,1,0,35.29,low
U00830,1,0,0.0,medium
U00831,1,0,0.0,medium
U00832,0,0,36.93,low
U00833,1,1,30.28,low
U00834,1,1,43.25,medium
U00835,0,0,0.0,medium
U00836,0,0,0.0,high
U00837,1,1,0.0,medium
U00838,1,1,0.0,low
U00839,1,1,4.84,low
U00840,1,1,0.0,low
U00841,1,1,12.09,low
U00842,1,1,14.91,low
U00843,1,1,0.0,low
U00844,1,1,50.92,low
U00845,0,1,0.0,low
U00846,0,0,25.14,medium
U00847,1,0,30.68,medium
U00848,0,1,20.4,medium
U00849,1,1,0.0,low
U00850,0,1,0.0,low
U00851,1,1,56.84,low
U00852,1,1,13.58,low
U00853,1,1,0.0,low
U00854,1,1,0.0,low
U00855,1,0,3.0,low
U00856,1,1,0.0,medium
U00857,1,0,43.05,low
U00858,1,1,0.0,low
U00859,1,1,0.0,low
U00860,1,1,0.0,low
U00861,1,0,0.0,medium
U00862,1,1,22.68,low
U00863,1,0,51.52,low
U00864,0,0,34.87,high
U00865,0,1,0.0,medium
U00866,0,1,34.71,low
U00867,1,0,28.51,low
U00868,1,1,0.0,low
U00869,1,1,0.0,low
U00870,1,1,0.0,medium
U00871,1,1,0.0,low
U00872,1,1,0.0,low
U00873,0,0,0.0,medium
U00874,0,1,31.49,medium
U00875,1,0,0.0,low
U00876,1,1,27.93,medium
U00877,1,0,18.84,low
U00878,1,1,32.85,low
U00879,1,1,5.89,low
U00880,1,1,14.22,medium
U00881,1,1,0.0,low
U00882,1,1,0.0,low
U00883,0,1,0.0,medium
U00884,1,0,0.0,low
U00885,0,0,12.14,low
U00886,0,1,0.0,low
U00887,1,0,25.41,low
U00888,0,0,0.0,low
U00889,0,0,0.0,high
U00890,1,1,0.0,low
U00891,1,1,0.0,low
U00892,1,1,5.33,low
U00893,1,0,74.18,low
U00894,1,0,0.0,medium
U00895,1,0,0.0,low
U00896,0,0,15.34,low
U00897,0,1,9.06,low
U00898,1,0,0.0,medium
U00899,0,0,0.0,medium
U00900,0,1,12.57,low
U00901,1,1,16.53,low
U00902,0,0,8.07,high
U00903,1,1,0.0,low
U00904,1,1,40.1,low
U00905,0,0,34.77,medium
U00906,1,0,0.0,high
U00907,0,1,25.31,low
U00908,0,0,36.44,medium
U00909,0,0,56.48,low
U00910,1,1,38.94,low
U00911,1,0,0.0,low
U00912,1,1,34.65,low
U00913,1,1,45.95,low
U00914,0,0,0.0,low
U00915,1,1,28.0,low
U00916,0,0,0.0,low
U00917,0,0,24.4,low
U00918,1,0,0.0,medium
U00919,1,1,0.0,medium
U00920,1,1,0.0,low
U00921,1,1,0.0,low
U00922,1,1,29.07,low
U00923,0,0,0.0,low
U00924,0,0,0.0,medium
U00925,1,1,0.0,low
U00926,1,1,0.0,low
U00927,0,0,7.03,medium
U00928,1,0,26.59,medium
U00929,1,1,36.25,low
U00930,1,0,0.0,medium
U00931,1,0,4.5,low
U00932,1,1,0.0,low
U00933,1,0,11.08,medium
U00934,1,0,0.0,low
U00935,1,1,43.12,low
U00936,0,0,0.0,medium
U00937,1,0,0.0,medium
U00938,1,1,4.76,low
U00939,0,0,0.0,high
U00940,1,1,11.47,low
U00941,0,0,18.41,medium
U00942,1,0,47.15,low
U00943,0,1,79.24,medium
U00944,0,0,0.0,medium
U00945,0,1,0.0,medium
U00946,1,1,0.0,medium
U00947,1,1,0.0,low
U00948,0,0,0.0,low
U00949,0,1,0.0,low
U00950,1,1,43.79,low
U00951,1,1,23.58,medium
U00952,0,1,0.0,medium
U00953,0,0,0.0,medium
U00954,0,1,16.53,low
U00955,1,0,0.0,low
U00956,0,0,0.0,medium
U00957,1,0,23.5,medium
U00958,0,1,0.0,low
U00959,1,0,0.0,medium
U00960,0,0,0.0,medium
U00961,0,0,0.0,medium
U00962,0,1,0.0,low
U00963,0,1,3.72,medium
U00964,1,1,46.89,low
U00965,0,1,0.0,low
U00966,1,1,28.76,low
U00967,1,1,0.0,low
U00968,1,0,53.15,low
U00969,1,0,0.0,low
U00970,1,1,39.24,low
U00971,1,0,32.72,low
U00972,1,1,0.0,low
U00973,1,1,17.85,low
U00974,1,1,19.68,low
U00975,1,0,48.67,low
U00976,0,0,0.0,low
U00977,1,1,71.59,low
