user_id,signup_date,country,device,acquisition_channel,age_band,player_type_seed
U00079,2026-02-03,United States,iOS,organic,35-44,casual
U00080,2026-02-10,India,iOS,paid_social,25-34,competitive
U00081,2026-02-26,United States,iOS,organic,18-24,casual
U00082,2026-01-27,Japan,Android,organic,55+,collector
U00083,2026-01-10,United States,iOS,paid_social,25-34,collector
U00084,2026-02-19,United States,Android,referral,25-34,competitive
U00085,2026-02-07,United States,Android,referral,18-24,casual
U00086,2026-02-12,United Kingdom,iOS,organic,55+,casual
U00087,2026-01-06,Canada,iOS,organic,45-54,competitive
U00088,2026-01-19,United States,Web,paid_social,18-24,casual
U00089,2026-02-16,United Kingdom,Android,paid_social,25-34,casual
U00090,2026-02-19,Canada,Android,store_feature,18-24,casual
U00091,2026-01-27,Japan,iOS,referral,35-44,casual
U00092,2026-02-18,India,Web,store_feature,25-34,casual
U00093,2026-02-20,Brazil,Android,store_feature,18-24,casual
U00094,2026-01-24,United States,Android,paid_social,25-34,competitive
U00095,2026-02-23,United States,Android,referral,45-54,casual
U00096,2026-01-18,India,Web,referral,25-34,casual
U00097,2026-01-15,United States,iOS,influencer,18-24,casual
U00098,2026-02-10,Canada,Android,paid_social,55+,collector
U00099,2026-02-08,India,iOS,referral,18-24,competitive
U00100,2026-01-09,India,Android,paid_social,25-34,competitive
U00101,2026-02-19,Canada,Web,referral,25-34,competitive
U00102,2026-01-12,Brazil,Web,influencer,18-24,competitive
U00103,2026-02-18,United Kingdom,Android,influencer,18-24,casual
U00104,2026-01-01,Brazil,Android,organic,18-24,competitive
U00105,2026-02-17,United States,Web,organic,18-24,casual
U00106,2026-02-17,United States,Web,referral,25-34,competitive
U00107,2026-02-16,Germany,Android,referral,45-54,casual
U00108,2026-02-09,United States,iOS,influencer,18-24,collector
U00109,2026-01-29,Brazil,iOS,organic,35-44,casual
U00110,2026-02-12,Canada,Web,store_feature,25-34,casual
U00111,2026-01-17,India,Android,referral,18-24,competitive
U00112,2026-02-16,Japan,Android,organic,25-34,casual
U00113,2026-02-03,United Kingdom,Android,organic,18-24,casual
U00114,2026-01-28,Japan,iOS,referral,35-44,collector
U00115,2026-01-31,United States,iOS,organic,25-34,competitive
U00116,2026-02-04,United Kingdom,Android,store_feature,35-44,competitive
U00117,2026-01-03,United States,iOS,paid_social,45-54,casual
U00118,2026-01-09,Japan,Android,paid_social,18-24,casual
U00119,2026-01-15,Japan,Android,organic,45-54,casual
U00120,2026-01-07,India,Android,influencer,18-24,competitive
U00121,2026-01-27,Japan,iOS,referral,18-24,competitive
U00122,2026-02-10,India,Android,store_feature,18-24,casual
U00123,2026-02-09,United States,iOS,store_feature,35-44,casual
U00124,2026-01-29,India,iOS,paid_social,35-44,casual
U00125,2026-02-21,Germany,iOS,influencer,55+,casual
U00126,2026-02-03,United Kingdom,iOS,paid_social,35-44,casual
U00127,2026-01-05,Germany,Web,paid_social,25-34,casual
U00128,2026-02-15,Canada,Web,organic,45-54,casual
U00129,2026-02-04,United States,iOS,organic,55+,casual
U00130,2026-02-08,United States,Android,referral,35-44,casual
U00131,2026-02-03,United States,Android,organic,25-34,casual
U00132,2026-02-03,United Kingdom,Android,referral,45-54,competitive
U00133,2026-01-06,India,Web,influencer,18-24,casual
U00134,2026-02-03,Germany,Android,paid_social,45-54,casual
U00135,2026-02-17,United Kingdom,iOS,organic,55+,casual
U00136,2026-01-19,United Kingdom,iOS,referral,35-44,casual
U00137,2026-02-06,United Kingdom,Android,organic,18-24,casual
U00138,2026-01-02,United States,Web,store_feature,18-24,casual
U00139,2026-01-21,Japan,Android,paid_social,55+,casual
U00140,2026-01-27,United States,iOS,paid_social,45-54,competitive
U00141,2026-02-28,Brazil,iOS,paid_social,35-44,competitive
U00142,2026-01-13,Brazil,Web,paid_social,55+,casual
U00143,2026-01-17,Germany,iOS,organic,25-34,casual
U00144,2026-01-25,Japan,Android,organic,45-54,collector
U00145,2026-03-01,United States,Android,paid_social,18-24,casual
U00146,2026-02-21,India,iOS,influencer,18-24,collector
U00147,2026-01-03,Brazil,iOS,organic,25-34,competitive
U00148,2026-01-15,Japan,iOS,organic,25-34,casual
U00149,2026-02-19,Brazil,iOS,organic,25-34,casual
U00150,2026-01-04,Japan,Android,paid_social,35-44,casual
U00151,2026-02-21,India,Android,organic,18-24,competitive
U00152,2026-01-17,United Kingdom,iOS,store_feature,35-44,casual
U00153,2026-02-25,Japan,Android,organic,18-24,competitive
U00154,2026-01-18,Brazil,iOS,referral,45-54,casual
U00155,2026-01-27,United Kingdom,iOS,organic,18-24,competitive
U00156,2026-02-09,India,Android,paid_social,35-44,competitive
U00157,2026-01-08,Canada,Android,organic,25-34,casual
U00158,2026-02-03,Germany,Android,referral,25-34,casual
U00159,2026-01-31,United States,iOS,influencer,25-34,casual
U00160,2026-02-17,United States,Android,organic,18-24,competitive
U00161,2026-03-01,Japan,Android,influencer,25-34,competitive
U00162,2026-02-09,Canada,Web,organic,18-24,casual
U00163,2026-01-25,Canada,Android,paid_social,18-24,competitive
U00164,2026-01-25,United States,Web,referral,35-44,casual
U00165,2026-01-26,United Kingdom,iOS,organic,18-24,casual
U00166,2026-02-18,Japan,Android,paid_social,18-24,collector
U00167,2026-01-20,India,Android,organic,25-34,casual
U00168,2026-01-11,United States,iOS,referral,25-34,competitive
U00169,2026-01-21,Germany,Android,paid_social,25-34,casual
U00170,2026-01-02,United Kingdom,Android,influencer,35-44,competitive
U00171,2026-01-07,Germany,Web,organic,25-34,casual
U00172,2026-01-06,United Kingdom,iOS,influencer,25-34,casual
U00173,2026-02-16,Canada,Web,organic,25-34,casual
U00174,2026-02-13,United Kingdom,iOS,paid_social,25-34,competitive
U00175,2026-02-11,Germany,Android,organic,35-44,casual
U00176,2026-01-28,United Kingdom,Android,organic,25-34,casual
U00177,2026-02-13,United Kingdom,iOS,organic,45-54,casual
U00178,2026-01-10,Japan,Web,referral,25-34,casual
U00179,2026-02-24,Brazil,Web,organic,35-44,competitive
U00180,2026-01-31,Canada,Web,paid_social,25-34,competitive
U00181,2026-02-26,Japan,Web,influencer,45-54,competitive
U00182,2026-01-10,Japan,Android,organic,25-34,casual
U00183,2026-01-30,United States,Android,organic,25-34,casual
U00184,2026-02-11,Germany,Web,organic,45-54,casual
U00185,2026-01-30,United States,iOS,organic,35-44,casual
U00186,2026-01-27,Brazil,Android,paid_social,25-34,collector
U00187,2026-01-10,United States,Android,referral,25-34,casual
U00188,2026-01-23,Brazil,Android,organic,18-24,collector
U00189,2026-01-15,United States,iOS,organic,35-44,casual
U00190,2026-01-19,United Kingdom,iOS,referral,25-34,competitive
U00191,2026-02-11,India,iOS,organic,18-24,competitive
U00192,2026-02-07,Canada,Android,paid_social,18-24,competitive
U00193,2026-02-06,Japan,iOS,influencer,55+,competitive
U00194,2026-01-22,India,iOS,organic,25-34,casual
U00195,2026-02-27,Japan,iOS,paid_social,25-34,competitive
U00196,2026-01-06,United States,Android,store_feature,45-54,casual
U00197,2026-01-21,Japan,iOS,referral,25-34,casual
U00198,2026-01-08,United States,Android,referral,35-44,casual
U00199,2026-01-21,Canada,iOS,store_feature,35-44,casual
U00200,2026-02-27,Japan,Android,paid_social,25-34,collector
U00201,2026-01-22,Brazil,iOS,paid_social,35-44,casual
U00202,2026-02-24,United Kingdom,Android,referral,55+,casual
U00203,2026-01-30,Canada,Android,referral,18-24,casual
U00204,2026-02-11,Japan,Android,referral,18-24,competitive
U00205,2026-01-28,Brazil,Android,paid_social,45-54,competitive
U00206,2026-01-16,United Kingdom,Android,store_feature,25-34,collector
U00207,2026-02-15,India,iOS,organic,25-34,competitive
U00208,2026-02-28,United States,Android,organic,18-24,casual
U00209,2026-01-16,United States,iOS,paid_social,45-54,casual
U00210,2026-02-16,Brazil,Android,organic,35-44,casual
U00211,2026-01-16,India,Android,referral,55+,competitive
U00212,2026-02-13,United States,Android,organic,25-34,collector
U00213,2026-02-17,United States,Android,referral,55+,casual
U00214,2026-01-27,United States,iOS,paid_social,25-34,casual
U00215,2026-02-14,Japan,iOS,organic,35-44,competitive
U00216,2026-01-17,United States,iOS,organic,35-44,competitive
U00217,2026-01-05,United Kingdom,Android,paid_social,25-34,competitive
U00218,2026-01-06,India,Android,referral,25-34,casual
U00219,2026-01-27,United States,Android,paid_social,18-24,casual
U00220,2026-02-24,Germany,Android,organic,25-34,casual
U00221,2026-01-08,United Kingdom,iOS,organic,35-44,casual
U00222,2026-01-28,Japan,Web,organic,18-24,competitive
U00223,2026-02-12,Canada,iOS,organic,35-44,casual
U00224,2026-01-13,Canada,iOS,influencer,25-34,casual
U00225,2026-02-13,United States,Web,organic,25-34,collector
U00226,2026-01-19,Brazil,iOS,organic,35-44,casual
U00227,2026-02-18,Japan,iOS,store_feature,18-24,casual
U00228,2026-02-04,United States,iOS,referral,55+,collector
U00229,2026-02-02,Canada,Android,paid_social,55+,casual
U00230,2026-01-11,India,iOS,referral,25-34,competitive
U00231,2026-01-28,United States,Android,influencer,25-34,casual
U00232,2026-02-21,United States,Android,organic,18-24,collector
U00233,2026-01-02,Germany,iOS,organic,35-44,casual
U00234,2026-02-15,Canada,iOS,store_feature,18-24,casual
U00235,2026-01-30,United States,Android,store_feature,45-54,collector
U00236,2026-02-13,United Kingdom,iOS,influencer,55+,competitive
U00237,2026-02-09,United States,Android,organic,18-24,casual
U00238,2026-01-26,United Kingdom,Android,influencer,35-44,casual
U00239,2026-01-19,Brazil,iOS,paid_social,25-34,casual
U00240,2026-02-07,Germany,Android,referral,25-34,casual
U00241,2026-01-09,United States,Android,influencer,18-24,casual
U00242,2026-02-05,Japan,Android,organic,35-44,casual
U00243,2026-01-06,United States,Android,organic,18-24,collector
U00244,2026-02-08,Japan,Web,paid_social,45-54,competitive
U00245,2026-02-07,Canada,Android,store_feature,25-34,collector
U00246,2026-01-06,Japan,Android,organic,35-44,casual
U00247,2026-02-15,United States,Android,store_feature,45-54,casual
U00248,2026-01-25,United States,Android,paid_social,35-44,competitive
U00249,2026-02-17,United Kingdom,iOS,paid_social,25-34,casual
U00250,2026-01-03,United States,Android,organic,25-34,casual
U00251,2026-01-11,United States,Web,influencer,25-34,competitive
U00252,2026-01-30,Brazil,iOS,organic,25-34,competitive
U00253,2026-01-12,Japan,Web,paid_social,55+,casual
U00254,2026-01-20,United States,Android,organic,18-24,casual
U00255,2026-02-09,India,Android,influencer,25-34,casual
U00256,2026-01-09,Japan,Web,store_feature,35-44,competitive
U00257,2026-02-10,Japan,iOS,organic,25-34,casual
U00258,2026-01-07,Brazil,iOS,organic,45-54,collector
U00259,2026-01-11,Brazil,iOS,paid_social,18-24,casual
U00260,2026-02-05,United Kingdom,Android,paid_social,18-24,casual
U00261,2026-02-17,Brazil,iOS,store_feature,35-44,competitive
U00262,2026-01-11,India,Web,paid_social,25-34,collector
U00263,2026-01-18,United States,iOS,paid_social,45-54,competitive
U00264,2026-02-25,Canada,iOS,referral,25-34,casual
U00265,2026-03-01,United States,Android,paid_social,18-24,casual
U00266,2026-02-04,India,iOS,organic,25-34,competitive
U00267,2026-01-27,United Kingdom,Android,organic,25-34,competitive
U00268,2026-01-21,Brazil,iOS,organic,25-34,collector
U00269,2026-02-06,Japan,Web,paid_social,25-34,casual
U00270,2026-02-05,India,Android,organic,25-34,competitive
U00271,2026-01-18,United States,iOS,paid_social,45-54,casual
U00272,2026-01-02,Japan,iOS,organic,25-34,casual
U00273,2026-01-10,India,iOS,referral,35-44,casual
U00274,2026-02-27,United States,Web,organic,18-24,casual
U00275,2026-01-26,Brazil,Android,paid_social,35-44,casual
U00276,2026-01-29,Canada,Android,organic,25-34,casual
U00277,2026-01-29,Brazil,iOS,organic,25-34,competitive
U00278,2026-02-16,United Kingdom,Web,organic,25-34,competitive
U00279,2026-01-04,United States,iOS,paid_social,18-24,casual
U00280,2026-01-05,United States,Android,store_feature,25-34,competitive
U00281,2026-01-17,United States,Android,organic,18-24,casual
U00282,2026-01-30,United States,iOS,referral,45-54,casual
U00283,2026-02-10,Germany,Android,paid_social,25-34,collector
U00284,2026-01-30,Canada,iOS,paid_social,55+,casual
U00285,2026-01-27,United States,iOS,paid_social,25-34,casual
U00286,2026-02-26,Brazil,Web,organic,18-24,competitive
U00287,2026-01-10,Brazil,Android,referral,25-34,casual
U00288,2026-02-04,United Kingdom,Android,store_feature,18-24,casual
U00289,2026-02-02,India,Android,store_feature,45-54,competitive
U00290,2026-01-29,Canada,iOS,organic,18-24,competitive
U00291,2026-02-18,Japan,Android,referral,45-54,casual
U00292,2026-01-17,United States,Android,organic,18-24,collector
U00293,2026-02-27,Brazil,iOS,paid_social,25-34,casual
U00294,2026-01-20,India,iOS,organic,18-24,casual
U00295,2026-02-02,Japan,Android,organic,35-44,casual
U00296,2026-02-01,Germany,Android,referral,25-34,casual
U00297,2026-02-20,Germany,iOS,store_feature,45-54,collector
U00298,2026-01-27,Canada,Web,organic,25-34,competitive
U00299,2026-01-18,Brazil,iOS,paid_social,18-24,casual
U00300,2026-01-02,Japan,iOS,referral,35-44,casual
U00301,2026-01-22,India,iOS,influencer,25-34,casual
U00302,2026-02-19,United Kingdom,Android,referral,45-54,competitive
U00303,2026-01-01,United States,iOS,organic,25-34,casual
U00304,2026-02-23,Germany,Android,organic,35-44,collector
U00305,2026-02-02,United States,iOS,referral,18-24,casual
U00306,2026-01-09,United States,Android,organic,55+,casual
U00307,2026-01-19,Canada,Android,influencer,18-24,collector
U00308,2026-02-03,Brazil,iOS,influencer,45-54,collector
U00309,2026-01-19,United States,Web,influencer,18-24,casual
U00310,2026-01-07,United States,iOS,organic,35-44,casual
U00311,2026-02-09,United States,iOS,referral,45-54,collector
U00312,2026-02-10,Japan,Android,referral,45-54,competitive
U00313,2026-01-08,Brazil,Android,organic,25-34,competitive
U00314,2026-01-17,United States,iOS,organic,25-34,competitive
U00315,2026-01-15,United States,Android,organic,45-54,collector
U00316,2026-02-09,Germany,iOS,paid_social,25-34,casual
U00317,2026-02-13,United States,Android,influencer,35-44,casual
U00318,2026-02-13,Germany,Android,store_feature,18-24,casual
U00319,2026-02-26,United Kingdom,Web,organic,25-34,competitive
U00320,2026-02-16,India,Android,paid_social,25-34,casual
U00321,2026-01-20,United States,Android,organic,35-44,casual
U00322,2026-01-07,Brazil,Android,organic,18-24,competitive
U00323,2026-02-06,United States,iOS,organic,25-34,casual
U00324,2026-02-24,India,iOS,referral,45-54,collector
U00325,2026-02-28,India,Web,referral,25-34,casual
U00326,2026-01-14,Brazil,iOS,store_feature,45-54,competitive
U00327,2026-01-15,United Kingdom,Android,store_feature,18-24,competitive
U00328,2026-01-03,United States,iOS,organic,25-34,casual
U00329,2026-01-09,Japan,Android,referral,25-34,casual
U00330,2026-02-03,Brazil,iOS,organic,25-34,casual
U00331,2026-02-02,United States,Web,paid_social,35-44,competitive
U00332,2026-01-23,United Kingdom,Android,paid_social,18-24,competitive
U00333,2026-01-19,United Kingdom,iOS,organic,25-34,casual
U00334,2026-02-19,Japan,Android,organic,18-24,casual
U00335,2026-01-28,Brazil,Android,organic,35-44,collector
U00336,2026-02-18,Brazil,iOS,organic,45-54,casual
U00337,2026-02-27,Brazil,iOS,influencer,18-24,collector
U00338,2026-01-20,United States,Android,organic,25-34,casual
U00339,2026-01-13,Canada,Android,paid_social,25-34,casual
U00340,2026-02-27,United States,iOS,influencer,35-44,casual
U00341,2026-02-08,Japan,Web,paid_social,18-24,casual
U00342,2026-01-18,United Kingdom,iOS,paid_social,25-34,collector
U00343,2026-02-07,United Kingdom,iOS,influencer,35-44,competitive
U00344,2026-01-31,United States,Android,organic,25-34,competitive
U00345,2026-02-24,United States,iOS,organic,35-44,competitive
U00346,2026-01-16,Germany,iOS,paid_social,25-34,competitive
U00347,2026-03-01,United States,Android,paid_social,45-54,competitive
U00348,2026-02-26,United States,iOS,store_feature,18-24,competitive
U00349,2026-01-11,Japan,iOS,organic,18-24,competitive
U00350,2026-01-10,Canada,Android,paid_social,25-34,competitive
U00351,2026-02-01,Canada,Android,referral,25-34,casual
U00352,2026-01-03,United Kingdom,Android,influencer,35-44,casual
U00353,2026-01-18,Japan,Android,organic,18-24,casual
U00354,2026-01-27,Canada,Android,organic,18-24,casual
U00355,2026-02-28,Brazil,iOS,influencer,35-44,casual
U00356,2026-03-01,India,Android,referral,25-34,casual
U00357,2026-01-10,Brazil,iOS,organic,35-44,casual
U00358,2026-02-23,United Kingdom,iOS,organic,35-44,competitive
U00359,2026-01-06,Brazil,Android,store_feature,18-24,competitive
U00360,2026-02-14,United Kingdom,Android,paid_social,35-44,casual
U00361,2026-02-20,Canada,Android,paid_social,45-54,collector
U00362,2026-02-23,United Kingdom,iOS,store_feature,35-44,collector
U00363,2026-01-14,Canada,iOS,organic,18-24,collector
U00364,2026-02-23,United States,Android,organic,25-34,casual
U00365,2026-01-07,Canada,Android,paid_social,45-54,casual
U00366,2026-02-01,United States,Android,influencer,25-34,casual
U00367,2026-01-29,Canada,iOS,organic,25-34,competitive
U00368,2026-01-19,Germany,iOS,referral,18-24,competitive
U00369,2026-01-02,India,Android,organic,35-44,competitive
U00370,2026-02-16,United States,Android,organic,35-44,competitive
U00371,2026-01-21,Germany,iOS,influencer,45-54,collector
U00372,2026-02-09,United Kingdom,iOS,organic,45-54,competitive
U00373,2026-01-25,United States,iOS,organic,25-34,collector
U00374,2026-01-23,United States,iOS,store_feature,35-44,competitive
U00375,2026-02-23,United States,Android,paid_social,18-24,casual
U00376,2026-01-06,United States,iOS,paid_social,18-24,competitive
U00377,2026-02-14,United States,Android,store_feature,18-24,casual
U00378,2026-02-14,Canada,Android,organic,45-54,casual
U00379,2026-01-23,United Kingdom,Web,referral,18-24,collector
U00380,2026-01-16,United States,Web,organic,25-34,casual
U00381,2026-01-01,United States,iOS,organic,25-34,casual
U00382,2026-02-26,United States,iOS,referral,25-34,collector
U00383,2026-02-26,Germany,iOS,organic,25-34,casual
U00384,2026-01-15,Canada,Android,store_feature,18-24,casual
U00385,2026-01-02,Germany,iOS,influencer,25-34,casual
U00386,2026-01-08,United States,iOS,store_feature,25-34,casual
U00387,2026-01-05,United States,iOS,organic,35-44,casual
U00388,2026-02-19,India,iOS,organic,35-44,casual
U00389,2026-02-23,United States,Android,influencer,45-54,competitive
U00390,2026-01-10,United States,Android,paid_social,25-34,casual
U00391,2026-02-14,United States,Android,referral,18-24,competitive
U00392,2026-01-11,India,Web,store_feature,25-34,casual
U00393,2026-01-23,Germany,iOS,organic,55+,casual
U00394,2026-02-05,Germany,iOS,organic,18-24,competitive
U00395,2026-02-13,India,iOS,referral,18-24,casual
U00396,2026-02-22,United States,Android,paid_social,55+,casual
U00397,2026-01-03,India,Android,organic,55+,casual
U00398,2026-01-12,United States,iOS,paid_social,18-24,casual
U00399,2026-01-17,Germany,Web,store_feature,35-44,casual
U00400,2026-01-19,United Kingdom,iOS,paid_social,25-34,casual
U00401,2026-03-01,Canada,iOS,organic,25-34,casual
U00402,2026-02-16,India,Android,referral,25-34,casual
U00403,2026-01-20,United States,Web,store_feature,55+,casual
U00404,2026-02-28,India,Android,influencer,18-24,competitive
U00405,2026-01-30,Canada,Web,organic,35-44,casual
U00406,2026-01-31,Brazil,iOS,influencer,18-24,competitive
U00407,2026-01-27,India,Android,store_feature,35-44,competitive
U00408,2026-01-09,United States,Android,referral,35-44,casual
U00409,2026-02-26,India,Android,organic,35-44,casual
U00410,2026-01-01,Germany,iOS,organic,45-54,casual
U00411,2026-01-11,Brazil,Web,paid_social,35-44,casual
U00412,2026-01-14,United States,iOS,organic,35-44,casual
U00413,2026-01-17,United Kingdom,iOS,organic,18-24,casual
U00414,2026-01-08,Brazil,Web,influencer,55+,collector
U00415,2026-01-02,United Kingdom,Web,organic,25-34,competitive
U00416,2026-02-10,United States,Web,influencer,25-34,casual
U00417,2026-02-28,United States,Web,paid_social,25-34,collector
U00418,2026-01-08,Japan,iOS,store_feature,25-34,casual
U00419,2026-01-18,United States,Web,organic,25-34,casual
U00420,2026-01-31,Brazil,Android,referral,25-34,casual
U00421,2026-02-25,India,Android,paid_social,18-24,collector
U00422,2026-02-11,United States,iOS,influencer,45-54,casual
U00423,2026-02-15,United States,Android,organic,45-54,competitive
U00424,2026-02-04,Brazil,Android,organic,25-34,competitive
U00425,2026-01-26,United States,Android,influencer,55+,casual
U00426,2026-01-12,Germany,iOS,organic,25-34,casual
U00427,2026-02-21,Brazil,iOS,referral,25-34,casual
U00428,2026-02-18,Germany,Android,organic,45-54,competitive
U00429,2026-01-02,Canada,iOS,organic,35-44,casual
U00430,2026-02-12,Brazil,Android,paid_social,35-44,casual
U00431,2026-01-06,Germany,iOS,paid_social,25-34,casual
U00432,2026-02-14,United States,Android,paid_social,25-34,competitive
U00433,2026-02-19,Germany,iOS,paid_social,18-24,competitive
U00434,2026-01-08,India,iOS,referral,55+,casual
U00435,2026-01-27,Brazil,Android,influencer,18-24,casual
U00436,2026-01-08,United Kingdom,iOS,organic,25-34,casual
U00437,2026-02-04,Canada,iOS,organic,18-24,casual
U00438,2026-02-25,United States,iOS,organic,35-44,casual
U00439,2026-01-05,United States,iOS,store_feature,25-34,competitive
U00440,2026-01-24,United States,Android,paid_social,35-44,casual
U00441,2026-02-28,India,iOS,referral,25-34,casual
U00442,2026-01-19,United States,iOS,paid_social,18-24,casual
U00443,2026-01-08,Japan,Android,paid_social,18-24,casual
U00444,2026-01-30,United States,Android,store_feature,18-24,competitive
U00445,2026-01-31,United States,Android,paid_social,35-44,competitive
U00446,2026-02-09,Canada,iOS,paid_social,45-54,casual
U00447,2026-01-19,Canada,Web,organic,25-34,casual
U00448,2026-02-27,Japan,iOS,paid_social,25-34,competitive
U00449,2026-02-01,India,iOS,organic,18-24,competitive
U00450,2026-01-18,Japan,Web,store_feature,45-54,competitive
U00451,2026-02-27,United States,Android,paid_social,55+,competitive
U00452,2026-02-25,Japan,Android,organic,35-44,competitive
U00453,2026-01-30,United States,Web,organic,18-24,competitive
U00454,2026-01-02,India,iOS,paid_social,25-34,collector
U00455,2026-02-05,United Kingdom,Android,influencer,55+,competitive
U00456,2026-02-03,Canada,Android,organic,18-24,competitive
U00457,2026-01-09,United States,iOS,organic,35-44,competitive
U00458,2026-02-08,United States,iOS,paid_social,45-54,casual
U00459,2026-02-20,United States,iOS,influencer,35-44,casual
U00460,2026-01-07,India,Web,store_feature,35-44,collector
U00461,2026-02-13,Japan,iOS,organic,25-34,casual
U00462,2026-01-09,India,iOS,paid_social,45-54,casual
U00463,2026-02-14,United States,Android,store_feature,25-34,casual
U00464,2026-01-26,Germany,Android,store_feature,45-54,casual
U00465,2026-01-01,United States,iOS,paid_social,25-34,casual
U00466,2026-02-27,Germany,Android,referral,35-44,casual
U00467,2026-01-10,Canada,Android,paid_social,45-54,casual
U00468,2026-02-05,United States,Android,organic,25-34,casual
U00469,2026-01-11,Germany,iOS,organic,25-34,casual
U00470,2026-02-25,United States,iOS,paid_social,18-24,casual
U00471,2026-02-14,United Kingdom,Android,organic,35-44,casual
U00472,2026-02-18,Brazil,iOS,paid_social,35-44,casual
U00473,2026-01-26,United States,Android,store_feature,25-34,competitive
