transaction_id,user_id,timestamp,item_category,amount_usd,payment_type
T000045,U00028,2026-02-21 06:24:00,booster,4.37,card
T000046,U00028,2026-03-07 00:23:06,currency,21.06,card
T000047,U00028,2026-02-20 20:16:43,booster,5.68,card
T000048,U00028,2026-02-28 02:05:27,cosmetic,5.65,card
T000049,U00030,2026-02-13 20:29:03,expansion,17.36,card
T000050,U00031,2026-02-22 09:25:10,currency,20.57,wallet
T000051,U00031,2026-01-29 15:35:43,expansion,17.31,card
T000052,U00032,2026-01-14 19:48:08,cosmetic,4.97,wallet
T000053,U00032,2026-01-31 11:42:22,battlepass,18.39,wallet
T000054,U00033,2026-01-21 21:39:27,currency,9.55,card
T000055,U00033,2026-01-16 15:00:24,expansion,23.13,card
T000056,U00033,2026-01-22 20:49:21,currency,15.48,wallet
T000057,U00034,2026-02-14 13:17:00,cosmetic,7.64,card
T000058,U00034,2026-02-19 18:39:07,currency,20.8,card
T000059,U00035,2026-03-03 05:30:49,cosmetic,7.26,wallet
T000060,U00035,2026-03-08 02:36:32,expansion,18.87,card
T000061,U00035,2026-03-12 19:18:16,booster,5.46,card
T000062,U00035,2026-03-22 19:10:27,cosmetic,7.37,wallet
T000063,U00035,2026-03-07 13:30:55,booster,5.94,wallet
T000064,U00035,2026-03-05 04:18:37,booster,3.04,card
T000065,U00035,2026-03-17 17:56:14,cosmetic,7.23,card
T000066,U00036,2026-01-10 13:39:24,currency,8.83,card
T000067,U00037,2026-02-24 02:10:49,currency,14.81,card
T000068,U00037,2026-03-15 04:17:41,battlepass,17.17,card
T000069,U00037,2026-02-24 22:09:57,cosmetic,4.8,card
T000070,U00039,2026-01-28 11:21:54,cosmetic,10.44,card
T000071,U00039,2026-01-27 17:55:10,booster,2.58,wallet
T000072,U00040,2026-02-23 19:07:01,booster,3.62,card
T000073,U00040,2026-02-20 11:28:45,cosmetic,5.92,card
T000074,U00041,2026-01-16 15:19:47,booster,2.97,card
T000075,U00041,2026-01-26 13:13:50,booster,5.31,card
T000076,U00041,2026-01-23 08:51:22,cosmetic,7.95,card
T000077,U00041,2026-01-21 08:19:34,booster,2.57,card
T000078,U00043,2026-03-03 19:50:15,expansion,20.54,card
T000079,U00043,2026-03-01 10:54:23,battlepass,14.58,card
T000080,U00043,2026-02-22 07:02:22,cosmetic,6.84,card
T000081,U00043,2026-02-17 14:51:02,currency,9.07,card
T000082,U00044,2026-02-12 14:54:29,currency,10.68,card
T000083,U00044,2026-02-12 23:20:28,cosmetic,6.91,card
T000084,U00044,2026-02-13 14:14:26,cosmetic,5.82,card
T000085,U00045,2026-02-02 09:16:33,currency,18.03,card
T000086,U00045,2026-01-26 10:02:29,currency,9.72,wallet
T000087,U00046,2026-03-14 03:57:44,cosmetic,4.74,card
T000088,U00046,2026-03-07 15:33:54,cosmetic,4.7,card
T000089,U00046,2026-03-28 11:31:03,expansion,15.06,card
T000090,U00046,2026-03-03 14:41:53,booster,3.93,card
T000091,U00047,2026-02-05 07:38:12,currency,9.67,card
T000092,U00047,2026-02-24 09:09:51,cosmetic,6.77,card
T000093,U00049,2026-02-21 03:17:24,cosmetic,8.23,card
T000094,U00049,2026-02-11 20:11:41,cosmetic,10.56,card
T000095,U00049,2026-02-18 13:06:29,cosmetic,6.19,card
T000096,U00050,2026-03-07 13:33:28,booster,5.85,card
T000097,U00050,2026-02-20 04:32:55,booster,2.5,card
T000098,U00054,2026-02-26 08:14:40,expansion,29.52,card
T000099,U00054,2026-02-26 09:19:34,battlepass,10.88,card
T000100,U00055,2026-02-12 15:30:03,cosmetic,10.06,card
T000101,U00055,2026-02-12 06:37:26,cosmetic,8.3,wallet
T000102,U00055,2026-02-18 17:07:10,currency,18.35,wallet
T000103,U00055,2026-02-12 08:12:58,booster,3.08,card
T000104,U00061,2026-03-02 21:50:35,currency,18.12,card
T000105,U00061,2026-03-07 17:06:51,cosmetic,8.82,card
T000106,U00061,2026-03-06 06:43:03,cosmetic,5.12,card
T000107,U00061,2026-03-17 20:38:03,booster,5.33,card
T000108,U00069,2026-01-24 04:47:31,cosmetic,9.61,wallet
T000109,U00069,2026-01-10 23:50:29,expansion,29.52,card
T000110,U00069,2026-01-10 01:26:08,expansion,23.58,card
T000111,U00070,2026-02-08 18:20:24,booster,5.7,card
T000112,U00070,2026-02-08 19:32:42,booster,4.97,card
T000113,U00070,2026-02-14 23:59:38,currency,18.83,card
T000114,U00072,2026-01-19 14:58:34,cosmetic,8.69,card
T000115,U00079,2026-02-09 10:58:48,cosmetic,6.47,card
T000116,U00079,2026-02-20 10:13:55,expansion,25.63,card
T000117,U00079,2026-02-28 20:11:04,cosmetic,10.31,card
T000118,U00080,2026-03-04 12:23:19,battlepass,12.69,wallet
T000119,U00080,2026-02-12 10:47:41,booster,5.83,wallet
T000120,U00083,2026-01-28 16:56:38,booster,3.77,card
T000121,U00083,2026-02-07 23:13:49,booster,5.79,card
T000122,U00084,2026-02-20 17:11:00,booster,4.15,card
T000123,U00084,2026-03-17 04:06:03,cosmetic,6.26,card
T000124,U00085,2026-03-04 12:40:25,cosmetic,6.64,card
T000125,U00085,2026-02-28 08:15:46,cosmetic,9.33,card
T000126,U00085,2026-02-18 21:21:55,cosmetic,5.25,card
T000127,U00087,2026-02-02 02:24:20,booster,2.89,card
T000128,U00087,2026-01-23 06:24:37,booster,3.89,card
T000129,U00088,2026-02-10 01:18:56,cosmetic,10.56,card
T000130,U00088,2026-01-19 07:43:13,currency,8.75,card
T000131,U00094,2026-02-18 09:27:39,booster,6.17,card
T000132,U00094,2026-02-11 04:46:11,expansion,15.31,card
T000133,U00098,2026-02-12 22:30:48,expansion,29.99,card
T000134,U00098,2026-02-25 15:29:20,expansion,24.38,card
T000135,U00098,2026-03-11 18:56:40,booster,3.92,wallet
T000136,U00098,2026-02-20 05:51:21,expansion,28.72,wallet
T000137,U00100,2026-02-06 03:01:49,booster,2.74,wallet
T000138,U00100,2026-01-24 19:44:01,cosmetic,5.22,wallet
T000139,U00102,2026-02-10 10:49:07,expansion,23.46,wallet
T000140,U00102,2026-01-25 22:38:23,currency,13.88,wallet
T000141,U00102,2026-02-02 05:10:23,cosmetic,8.5,wallet
T000142,U00102,2026-02-05 05:09:00,expansion,15.43,card
T000143,U00106,2026-03-17 15:15:57,cosmetic,5.71,wallet
T000144,U00106,2026-03-05 01:40:26,booster,2.66,wallet
T000145,U00108,2026-03-09 12:06:26,cosmetic,10.2,card
T000146,U00108,2026-02-09 17:08:04,currency,14.04,card
T000147,U00108,2026-02-16 03:28:48,cosmetic,9.01,card
T000148,U00108,2026-03-09 01:28:21,battlepass,15.44,card
T000149,U00108,2026-02-13 12:20:54,currency,15.86,card
T000150,U00110,2026-03-11 17:39:19,cosmetic,5.97,wallet
T000151,U00110,2026-02-12 04:57:59,booster,3.47,wallet
T000152,U00111,2026-01-21 10:53:17,cosmetic,7.9,wallet
T000153,U00111,2026-02-05 22:40:19,cosmetic,7.55,card
T000154,U00112,2026-03-17 02:49:49,cosmetic,5.27,card
T000155,U00112,2026-03-17 07:20:15,cosmetic,5.36,card
T000156,U00112,2026-03-16 23:55:09,cosmetic,8.22,card
T000157,U00116,2026-02-20 22:59:11,expansion,31.2,wallet
T000158,U00116,2026-02-04 12:22:47,battlepass,19.22,card
T000159,U00116,2026-02-22 21:23:54,battlepass,21.35,wallet
T000160,U00116,2026-02-22 18:18:14,cosmetic,6.74,wallet
T000161,U00117,2026-01-07 08:03:57,battlepass,17.18,card
T000162,U00117,2026-01-24 08:43:20,booster,3.29,card
T000163,U00119,2026-01-28 23:30:32,cosmetic,8.86,card
T000164,U00119,2026-01-21 15:46:11,booster,5.87,wallet
T000165,U00119,2026-01-27 01:33:10,battlepass,14.25,wallet
T000166,U00121,2026-02-23 10:29:47,cosmetic,8.12,wallet
T000167,U00121,2026-01-31 13:37:41,booster,2.55,wallet
T000168,U00121,2026-02-12 11:03:30,cosmetic,9.78,card
T000169,U00123,2026-02-09 04:31:09,booster,5.26,card
T000170,U00123,2026-03-05 01:35:04,cosmetic,6.95,wallet
T000171,U00125,2026-03-18 00:14:32,cosmetic,7.84,card
T000172,U00125,2026-03-16 21:45:17,booster,2.65,card
T000173,U00126,2026-03-01 12:51:31,battlepass,17.95,card
T000174,U00128,2026-02-15 15:46:36,cosmetic,9.72,card
T000175,U00128,2026-02-16 06:55:02,currency,18.74,card
T000176,U00128,2026-03-06 23:44:04,expansion,29.64,card
T000177,U00129,2026-02-12 07:51:23,booster,5.4,card
T000178,U00130,2026-02-12 02:40:35,battlepass,11.14,wallet
T000179,U00131,2026-02-17 07:59:56,booster,2.82,wallet
T000180,U00135,2026-02-26 04:09:16,cosmetic,10.73,card
T000181,U00138,2026-01-19 10:15:06,currency,17.23,card
T000182,U00138,2026-01-29 19:42:17,battlepass,10.63,card
T000183,U00138,2026-01-10 04:20:51,cosmetic,4.37,card
T000184,U00144,2026-02-13 16:19:32,cosmetic,5.39,wallet
T000185,U00144,2026-02-13 01:04:33,currency,15.83,wallet
T000186,U00144,2026-02-02 09:41:41,cosmetic,6.88,wallet
T000187,U00144,2026-02-01 05:11:14,expansion,13.99,wallet
T000188,U00147,2026-01-05 23:28:20,cosmetic,10.42,wallet
T000189,U00147,2026-01-26 08:41:14,booster,4.58,card
T000190,U00147,2026-01-30 21:11:59,booster,6.04,wallet
T000191,U00149,2026-03-16 02:59:46,booster,5.14,card
T000192,U00149,2026-02-25 04:33:40,cosmetic,6.88,card
T000193,U00149,2026-03-07 17:31:56,cosmetic,7.61,card
T000194,U00150,2026-01-21 12:28:29,cosmetic,6.64,card
T000195,U00151,2026-02-27 14:07:33,currency,20.03,card
T000196,U00153,2026-03-04 21:13:23,booster,4.88,card
T000197,U00154,2026-01-30 00:46:09,currency,10.88,card
T000198,U00154,2026-01-26 16:07:20,cosmetic,10.1,card
T000199,U00154,2026-01-19 03:42:57,cosmetic,7.05,card
T000200,U00156,2026-03-01 11:07:18,cosmetic,10.22,wallet
T000201,U00156,2026-02-20 13:08:40,currency,18.1,wallet
T000202,U00157,2026-02-03 06:42:10,booster,2.79,card
T000203,U00157,2026-02-04 09:34:30,cosmetic,8.13,card
T000204,U00162,2026-03-06 21:55:18,battlepass,21.76,card
T000205,U00162,2026-03-03 19:37:37,cosmetic,8.22,card
T000206,U00162,2026-03-09 10:43:18,currency,10.83,card
T000207,U00163,2026-02-21 11:58:05,cosmetic,7.65,wallet
T000208,U00165,2026-02-05 12:43:22,cosmetic,6.9,card
T000209,U00165,2026-02-19 19:37:55,expansion,13.45,card
T000210,U00165,2026-02-06 17:11:21,booster,3.6,card
T000211,U00166,2026-03-03 13:11:48,booster,5.91,card
T000212,U00166,2026-03-16 03:25:20,booster,4.71,card
T000213,U00166,2026-03-04 00:06:20,booster,3.71,card
T000214,U00166,2026-03-12 03:03:54,booster,4.41,card
T000215,U00167,2026-02-06 00:34:03,battlepass,15.36,wallet
T000216,U00167,2026-02-13 05:22:34,expansion,32.27,wallet
T000217,U00167,2026-02-09 03:33:02,battlepass,11.4,wallet
T000218,U00167,2026-02-02 22:27:03,currency,9.18,wallet
T000219,U00171,2026-01-19 04:02:48,expansion,32.94,wallet
T000220,U00171,2026-01-27 14:20:12,booster,3.95,wallet
T000221,U00171,2026-01-10 19:39:45,battlepass,13.5,wallet
T000222,U00171,2026-01-28 01:05:21,battlepass,17.8,card
T000223,U00171,2026-01-31 21:06:23,cosmetic,5.58,card
T000224,U00175,2026-02-27 13:20:14,cosmetic,9.65,wallet
T000225,U00176,2026-02-17 04:50:58,currency,20.32,card
T000226,U00176,2026-02-13 07:48:01,currency,21.87,card
T000227,U00176,2026-02-10 17:30:58,cosmetic,10.8,card
T000228,U00176,2026-02-25 04:51:49,currency,17.23,card
T000229,U00177,2026-03-07 20:24:47,cosmetic,5.67,card
T000230,U00177,2026-03-10 23:35:13,cosmetic,4.24,wallet
T000231,U00177,2026-02-28 15:50:33,currency,13.5,card
T000232,U00178,2026-01-18 05:21:39,cosmetic,10.16,card
T000233,U00179,2026-03-22 12:14:00,cosmetic,6.56,card
T000234,U00179,2026-03-20 03:40:12,battlepass,21.77,card
T000235,U00179,2026-03-12 22:52:55,cosmetic,5.43,card
T000236,U00179,2026-03-04 00:22:39,cosmetic,9.64,card
T000237,U00181,2026-03-22 07:34:51,cosmetic,10.64,card
T000238,U00181,2026-03-22 19:02:31,cosmetic,4.6,card
T000239,U00181,2026-03-16 03:48:33,booster,4.33,card
T000240,U00181,2026-03-27 20:27:21,currency,14.45,card
T000241,U00182,2026-01-17 21:09:51,cosmetic,5.41,card
T000242,U00182,2026-02-05 15:08:17,cosmetic,4.36,card
T000243,U00183,2026-02-17 11:03:07,battlepass,8.2,wallet
T000244,U00183,2026-02-17 12:32:01,battlepass,11.02,wallet
T000245,U00188,2026-02-13 12:58:09,currency,16.29,wallet
T000246,U00193,2026-02-08 17:02:21,cosmetic,8.0,wallet
T000247,U00193,2026-02-26 08:59:38,booster,6.22,card
T000248,U00193,2026-03-03 02:30:15,cosmetic,9.11,card
T000249,U00193,2026-02-22 19:47:43,cosmetic,4.02,wallet
T000250,U00194,2026-02-15 19:39:02,currency,19.81,card
T000251,U00194,2026-02-18 21:25:18,cosmetic,7.68,card
T000252,U00194,2026-02-12 20:58:14,booster,4.48,card
T000253,U00194,2026-01-28 18:03:30,cosmetic,8.86,card
T000254,U00194,2026-02-09 21:53:04,expansion,20.83,card
T000255,U00194,2026-02-06 09:24:10,cosmetic,8.89,card
T000256,U00196,2026-01-06 03:33:14,cosmetic,7.08,card
T000257,U00196,2026-01-16 02:16:31,cosmetic,9.36,card
T000258,U00196,2026-01-28 03:40:05,currency,21.92,wallet
T000259,U00196,2026-01-21 03:59:45,currency,16.0,wallet
T000260,U00196,2026-01-18 20:07:16,cosmetic,9.52,card
T000261,U00198,2026-01-27 18:45:25,cosmetic,5.65,card
T000262,U00198,2026-01-15 21:33:41,cosmetic,4.31,card
T000263,U00198,2026-01-11 03:04:43,booster,5.96,card
T000264,U00198,2026-01-30 03:39:45,cosmetic,9.59,card
T000265,U00201,2026-02-20 12:25:50,battlepass,13.22,card
T000266,U00201,2026-01-31 01:38:36,currency,20.08,wallet
T000267,U00202,2026-03-14 19:47:14,expansion,31.05,wallet
T000268,U00202,2026-03-08 14:39:01,cosmetic,7.55,wallet
T000269,U00202,2026-03-16 17:55:04,booster,4.54,wallet
T000270,U00203,2026-02-17 00:07:37,expansion,19.64,wallet
T000271,U00203,2026-02-09 11:22:02,battlepass,10.61,wallet
T000272,U00205,2026-02-03 10:06:16,booster,3.69,card
T000273,U00205,2026-02-09 21:06:43,booster,3.98,card
T000274,U00205,2026-02-12 14:23:09,battlepass,21.47,card
T000275,U00205,2026-02-01 20:15:12,cosmetic,9.32,card
T000276,U00206,2026-02-11 04:53:47,currency,17.89,card
T000277,U00206,2026-02-01 11:37:32,currency,17.48,card
T000278,U00206,2026-01-20 12:22:39,battlepass,12.88,card
T000279,U00206,2026-02-03 19:13:33,booster,5.08,card
T000280,U00206,2026-01-22 01:22:43,battlepass,17.82,card
T000281,U00211,2026-02-01 03:28:54,cosmetic,6.28,card
T000282,U00211,2026-02-02 06:17:14,cosmetic,8.43,card
T000283,U00211,2026-01-16 19:35:28,expansion,17.33,card
T000284,U00212,2026-02-18 09:30:15,expansion,20.76,wallet
T000285,U00212,2026-03-01 16:07:53,battlepass,19.72,wallet
T000286,U00213,2026-03-10 13:14:55,cosmetic,7.73,card
T000287,U00213,2026-02-27 09:07:26,cosmetic,4.03,card
T000288,U00213,2026-03-05 01:38:04,booster,3.58,card
T000289,U00216,2026-02-11 03:06:32,battlepass,13.17,card
T000290,U00216,2026-01-29 11:50:03,currency,18.82,card
T000291,U00220,2026-02-26 04:00:04,expansion,25.89,card
T000292,U00220,2026-03-06 17:26:09,expansion,19.97,card
T000293,U00220,2026-03-12 20:30:39,booster,4.16,wallet
T000294,U00220,2026-02-27 14:07:39,expansion,31.32,card
T000295,U00220,2026-03-19 03:43:25,cosmetic,8.55,wallet
T000296,U00221,2026-01-12 01:47:26,cosmetic,8.67,wallet
T000297,U00221,2026-01-11 18:27:56,booster,5.84,wallet
T000298,U00221,2026-01-15 13:58:01,currency,19.73,wallet
T000299,U00221,2026-01-23 16:21:26,booster,3.13,wallet
T000300,U00224,2026-01-28 03:59:52,cosmetic,5.28,wallet
T000301,U00225,2026-03-05 22:00:54,expansion,12.49,wallet
T000302,U00226,2026-02-04 19:08:44,battlepass,21.93,card
T000303,U00227,2026-03-09 23:18:49,booster,5.43,card
T000304,U00227,2026-03-13 12:45:14,cosmetic,5.72,card
T000305,U00229,2026-02-14 09:53:26,cosmetic,7.31,wallet
T000306,U00229,2026-02-13 18:32:46,expansion,25.53,wallet
T000307,U00231,2026-02-09 21:25:24,currency,21.93,card
T000308,U00232,2026-03-17 15:35:15,cosmetic,7.47,wallet
T000309,U00232,2026-02-24 19:55:44,cosmetic,7.53,card
T000310,U00232,2026-03-02 14:16:45,cosmetic,7.33,card
T000311,U00232,2026-02-28 10:23:11,expansion,18.14,wallet
T000312,U00232,2026-03-20 22:58:53,booster,4.34,wallet
T000313,U00235,2026-02-25 23:12:57,cosmetic,5.02,wallet
T000314,U00235,2026-01-30 06:22:06,booster,4.19,wallet
T000315,U00236,2026-02-24 15:50:20,booster,4.07,card
T000316,U00236,2026-02-22 22:17:36,expansion,26.86,wallet
T000317,U00237,2026-02-26 10:17:48,expansion,18.97,wallet
T000318,U00237,2026-02-10 15:20:48,cosmetic,7.98,wallet
T000319,U00237,2026-02-22 17:17:55,expansion,19.52,card
T000320,U00242,2026-02-07 08:48:21,currency,13.24,wallet
T000321,U00242,2026-02-28 16:25:54,cosmetic,5.49,wallet
T000322,U00242,2026-02-17 23:45:35,cosmetic,5.13,wallet
T000323,U00242,2026-02-27 16:30:54,currency,15.73,wallet
T000324,U00243,2026-02-03 02:34:58,cosmetic,6.08,card
T000325,U00243,2026-01-16 11:55:26,booster,3.6,wallet
T000326,U00243,2026-01-31 23:36:59,booster,5.23,wallet
T000327,U00243,2026-01-09 21:22:53,cosmetic,7.75,wallet
T000328,U00245,2026-02-28 21:52:07,cosmetic,6.0,card
T000329,U00245,2026-02-25 18:58:24,cosmetic,10.53,card
T000330,U00247,2026-02-18 01:27:58,battlepass,10.21,card
T000331,U00247,2026-03-06 17:25:37,booster,5.18,card
T000332,U00247,2026-02-26 08:01:12,booster,3.08,card
T000333,U00248,2026-02-08 06:44:55,cosmetic,5.32,card
T000334,U00251,2026-01-21 06:14:37,battlepass,20.69,card
T000335,U00251,2026-01-18 06:36:10,cosmetic,4.93,card
T000336,U00251,2026-01-27 10:27:00,currency,21.09,card
T000337,U00251,2026-01-14 09:36:11,booster,2.94,card
T000338,U00252,2026-02-13 19:13:27,battlepass,11.92,card
T000339,U00252,2026-02-03 08:17:11,currency,9.73,card
T000340,U00252,2026-02-17 22:50:35,cosmetic,4.4,card
T000341,U00252,2026-02-12 10:56:53,currency,17.33,card
T000342,U00253,2026-01-27 20:54:00,cosmetic,6.24,card
T000343,U00257,2026-02-20 08:49:38,expansion,22.55,card
T000344,U00257,2026-02-12 19:10:08,cosmetic,8.7,card
T000345,U00257,2026-02-25 20:58:24,currency,18.18,card
T000346,U00257,2026-02-20 20:35:34,cosmetic,5.48,card
T000347,U00257,2026-02-22 04:29:03,booster,4.88,card
T000348,U00258,2026-01-26 03:13:51,cosmetic,10.35,wallet
T000349,U00258,2026-01-12 23:31:37,cosmetic,10.3,card
T000350,U00258,2026-01-17 15:18:02,cosmetic,10.43,card
T000351,U00258,2026-01-24 01:20:02,booster,2.65,wallet
T000352,U00258,2026-01-24 19:28:35,cosmetic,7.96,wallet
T000353,U00258,2026-01-21 04:50:42,booster,2.81,wallet
T000354,U00258,2026-02-04 11:43:53,booster,6.29,card
T000355,U00261,2026-02-25 20:45:56,battlepass,9.68,card
T000356,U00261,2026-03-10 21:49:01,booster,2.51,wallet
T000357,U00262,2026-02-07 06:58:26,cosmetic,8.65,wallet
T000358,U00262,2026-01-22 07:26:11,expansion,31.05,wallet
T000359,U00262,2026-01-25 13:23:00,booster,5.33,wallet
T000360,U00267,2026-02-14 22:14:45,booster,5.4,wallet
T000361,U00267,2026-02-19 02:52:31,cosmetic,7.44,card
T000362,U00267,2026-02-03 08:44:22,cosmetic,6.09,wallet
T000363,U00267,2026-02-03 19:59:11,cosmetic,4.8,card
T000364,U00267,2026-02-11 21:41:00,cosmetic,5.37,wallet
T000365,U00269,2026-02-27 08:40:57,expansion,16.77,card
T000366,U00269,2026-02-22 09:40:05,expansion,31.18,card
T000367,U00269,2026-02-23 10:56:57,currency,12.5,card
T000368,U00270,2026-02-05 01:25:11,battlepass,9.54,card
T000369,U00270,2026-02-20 21:55:56,expansion,25.84,wallet
T000370,U00270,2026-02-27 08:12:10,cosmetic,8.98,card
T000371,U00271,2026-02-13 18:42:32,currency,11.65,wallet
T000372,U00271,2026-02-01 06:38:36,expansion,17.91,card
T000373,U00271,2026-02-05 16:14:42,battlepass,18.04,wallet
T000374,U00273,2026-02-02 16:37:24,booster,5.27,card
T000375,U00273,2026-01-23 23:59:35,booster,6.11,card
T000376,U00273,2026-02-04 08:50:44,battlepass,12.64,card
T000377,U00277,2026-02-19 18:35:56,currency,10.05,card
T000378,U00278,2026-02-21 06:20:49,booster,4.3,card
T000379,U00280,2026-01-07 07:17:37,currency,15.37,card
T000380,U00280,2026-01-20 21:45:06,currency,13.44,card
T000381,U00280,2026-02-03 19:16:58,battlepass,20.73,card
T000382,U00280,2026-01-17 20:17:19,expansion,27.78,card
T000383,U00280,2026-02-03 18:07:16,booster,3.99,card
T000384,U00280,2026-01-27 01:39:14,booster,3.53,card
T000385,U00281,2026-02-04 06:46:04,booster,3.04,card
T000386,U00281,2026-02-02 11:53:54,cosmetic,4.76,card
T000387,U00286,2026-03-27 18:05:37,cosmetic,10.38,card
T000388,U00286,2026-03-24 23:08:39,cosmetic,4.2,card
T000389,U00292,2026-02-05 05:30:35,expansion,29.17,wallet
T000390,U00292,2026-01-31 11:06:03,cosmetic,5.15,wallet
T000391,U00295,2026-02-23 20:03:31,cosmetic,6.52,card
T000392,U00295,2026-02-17 09:10:12,cosmetic,4.19,card
T000393,U00297,2026-02-28 00:02:24,cosmetic,6.95,card
T000394,U00297,2026-02-24 12:56:26,cosmetic,9.07,card
T000395,U00297,2026-03-06 12:13:14,cosmetic,7.13,card
T000396,U00297,2026-02-27 04:00:51,battlepass,17.35,wallet
T000397,U00297,2026-02-25 02:44:43,currency,14.86,wallet
T000398,U00297,2026-03-08 00:01:24,booster,3.21,card
T000399,U00298,2026-02-04 22:01:46,battlepass,15.92,card
T000400,U00298,2026-02-25 21:45:50,currency,19.16,wallet
T000401,U00298,2026-01-28 22:50:02,booster,4.22,wallet
T000402,U00298,2026-02-12 23:02:50,currency,14.21,card
T000403,U00299,2026-01-25 08:35:30,cosmetic,8.65,card
T000404,U00299,2026-02-04 02:50:50,booster,5.83,card
T000405,U00299,2026-02-06 14:42:48,cosmetic,8.29,card
T000406,U00299,2026-01-31 09:10:44,battlepass,9.39,card
T000407,U00301,2026-01-27 20:35:15,expansion,25.46,wallet
T000408,U00301,2026-02-15 06:56:01,cosmetic,9.13,wallet
T000409,U00304,2026-03-04 00:45:58,cosmetic,5.11,card
T000410,U00304,2026-03-16 01:20:41,currency,15.93,card
T000411,U00305,2026-02-15 02:21:21,cosmetic,7.46,card
T000412,U00305,2026-03-02 04:13:28,cosmetic,5.05,wallet
T000413,U00307,2026-02-15 15:05:21,expansion,23.98,card
T000414,U00309,2026-01-21 14:29:43,cosmetic,5.94,card
T000415,U00309,2026-01-23 14:20:08,currency,12.68,card
T000416,U00311,2026-02-27 17:28:47,cosmetic,10.55,card
T000417,U00311,2026-02-15 05:50:59,currency,19.78,card
T000418,U00312,2026-02-25 04:29:47,cosmetic,5.64,wallet
T000419,U00312,2026-03-09 05:09:45,booster,3.5,wallet
T000420,U00313,2026-02-05 03:44:05,currency,15.45,card
T000421,U00313,2026-01-17 15:33:55,cosmetic,10.45,card
T000422,U00313,2026-01-15 11:08:32,cosmetic,5.35,wallet
T000423,U00315,2026-02-05 04:55:04,cosmetic,4.44,card
T000424,U00315,2026-01-31 12:51:18,cosmetic,4.3,card
T000425,U00315,2026-02-05 17:53:18,cosmetic,4.14,card
T000426,U00315,2026-02-11 12:15:26,cosmetic,9.63,card
T000427,U00315,2026-02-11 14:48:33,cosmetic,8.45,card
T000428,U00316,2026-02-22 07:03:35,booster,3.09,wallet
T000429,U00319,2026-03-27 05:04:06,expansion,32.27,card
T000430,U00319,2026-03-23 21:39:38,booster,5.7,card
T000431,U00320,2026-03-07 11:58:46,battlepass,8.61,card
T000432,U00322,2026-01-09 03:10:59,booster,3.87,wallet
T000433,U00322,2026-02-02 19:32:00,booster,4.16,wallet
